Ялта,2016-01-01,2:00,-8,-10,ясно; без осадков,768,68,северо-западный,2
Феодосия,2016-02-15,8:00,8,10,ясно; без осадков,761,93,южный,4
Феодосия,2016-02-15,14:00,11,13,ясно; без осадков,763,81,юго-восточный,4
Феодосия,2016-02-15,20:00,8,10,пасмурно; дождь,766,91,юго-восточный,4
Армянск,2016-02-15,2:00,6,8,облачно; без осадков,758,97,южный,2
Армянск,2016-02-15,8:00,6,8,малооблачно; без осадков,759,97,юго-восточный,4
Армянск,2016-02-15,14:00,11,13,ясно; без осадков,761,75,южный,5
Армянск,2016-02-15,20:00,9,11,облачно; без осадков,762,84,юго-восточный,5
Черноморское,2016-02-15,2:00,7,9,ясно; без осадков,757,96,юго-восточный,4
Черноморское,2016-02-15,8:00,9,11,ясно; без осадков,758,93,юго-восточный,6
Черноморское,2016-02-15,14:00,11,13,пасмурно; без осадков,760,78,южный,6
Черноморское,2016-02-15,20:00,10,12,малооблачно; без осадков,762,79,юго-восточный,7
Севастополь,2016-02-15,2:00,10,12,ясно; без осадков,759,93,юго-восточный,5
Севастополь,2016-02-15,8:00,11,13,ясно; без осадков,761,83,юго-восточный,5
Севастополь,2016-02-15,14:00,13,15,пасмурно; без осадков,762,80,юго-восточный,5
Севастополь,2016-02-15,20:00,13,15,малооблачно; без осадков,764,66,юго-восточный,7
Ялта,2016-02-16,2:00,11,13,ясно; без осадков,767,77,западный,2
Ялта,2016-02-16,8:00,13,15,ясно; без осадков,767,76,западный,2
Ялта,2016-02-16,14:00,23,25,ясно; без осадков,767,61,юго-западный,3
Ялта,2016-02-16,20:00,17,19,пасмурно; без осадков,770,59,западный,2
Алушта,2016-02-16,2:00,11,13,ясно; без осадков,764,79,юго-западный,1
Алушта,2016-02-16,8:00,12,14,ясно; без осадков,764,75,западный,1
Алушта,2016-02-16,14:00,21,23,ясно; без осадков,764,61,юго-западный,2
Алушта,2016-02-16,20:00,16,18,пасмурно; без осадков,767,64,западный,1
Бахчисарай,2016-02-16,2:00,14,16,ясно; без осадков,747,59,южный,5
Бахчисарай,2016-02-16,8:00,11,13,ясно; без осадков,749,77,южный,3
Бахчисарай,2016-02-16,14:00,19,21,ясно; без осадков,749,57,юго-западный,3
Бахчисарай,2016-02-16,20:00,12,14,пасмурно; без осадков,751,74,южный,2
Джанкой,2016-02-16,2:00,11,13,ясно; без осадков,764,80,южный,3
Джанкой,2016-02-16,8:00,12,14,ясно; без осадков,765,78,юго-западный,5
Джанкой,2016-02-16,14:00,19,21,ясно; без осадков,767,56,юго-западный,4
Джанкой,2016-02-16,20:00,10,12,ясно; без осадков,769,90,юго-западный,2
Евпатория,2016-02-16,2:00,10,12,ясно; без осадков,764,80,южный,9
Евпатория,2016-02-16,8:00,9,11,ясно; без осадков,767,87,южный,6
Евпатория,2016-02-16,14:00,9,11,ясно; без осадков,768,88,южный,5
Евпатория,2016-02-16,20:00,8,10,облачно; без осадков,770,92,южный,4
Саки,2016-02-16,2:00,12,14,ясно; без осадков,764,68,южный,7
Саки,2016-02-16,8:00,10,12,ясно; без осадков,766,81,южный,5
Саки,2016-02-16,14:00,14,16,ясно; без осадков,767,72,южный,4
Саки,2016-02-16,20:00,9,11,малооблачно; без осадков,769,91,южный,2
Керчь,2016-02-16,2:00,8,10,облачно; дождь,767,90,юго-восточный,6
Керчь,2016-02-16,8:00,9,11,ясно; без осадков,767,89,южный,6
Керчь,2016-02-16,14:00,11,13,ясно; без осадков,768,84,юго-восточный,4
Керчь,2016-02-16,20:00,8,10,ясно; без осадков,770,94,южный,3
Красноперекопск,2016-02-16,2:00,11,13,ясно; без осадков,764,74,южный,6
Красноперекопск,2016-02-16,8:00,10,12,ясно; без осадков,765,84,южный,5
Красноперекопск,2016-02-16,14:00,14,16,ясно; без осадков,767,73,западный,4
Красноперекопск,2016-02-16,20:00,7,9,облачно; без осадков,769,91,западный,2
Щелкино,2016-02-16,2:00,8,10,малооблачно; без осадков,763,87,юго-восточный,7
Щелкино,2016-02-16,8:00,8,10,ясно; без осадков,764,84,южный,6
Щелкино,2016-02-16,14:00,15,17,ясно; без осадков,764,70,юго-восточный,1
Щелкино,2016-02-16,20:00,9,11,облачно; без осадков,767,90,западный,3
Симферополь,2016-02-16,2:00,14,16,ясно; без осадков,743,58,южный,6
Симферополь,2016-02-16,8:00,13,15,ясно; без осадков,745,71,южный,4
Симферополь,2016-02-16,14:00,19,21,ясно; без осадков,746,57,юго-западный,4
Симферополь,2016-02-16,20:00,13,15,облачно; без осадков,748,64,южный,2
Судак,2016-02-16,2:00,8,10,ясно; без осадков,764,87,южный,1
Судак,2016-02-16,8:00,9,11,ясно; без осадков,764,84,юго-западный,3
Судак,2016-02-16,14:00,18,20,ясно; без осадков,764,61,юго-западный,2
Судак,2016-02-16,20:00,17,19,пасмурно; без осадков,767,61,северный,1
Феодосия,2016-02-16,2:00,8,10,ясно; без осадков,766,89,южный,3
Феодосия,2016-02-16,8:00,9,11,ясно; без осадков,766,87,южный,4
Феодосия,2016-02-16,14:00,15,17,ясно; без осадков,767,82,юго-восточный,2
Феодосия,2016-02-16,20:00,11,13,пасмурно; без осадков,770,92,северный,3
Армянск,2016-02-16,2:00,8,10,ясно; без осадков,763,80,южный,6
Армянск,2016-02-16,8:00,7,9,ясно; без осадков,764,89,южный,5
Армянск,2016-02-16,14:00,9,11,ясно; без осадков,767,81,юго-западный,4
Армянск,2016-02-16,20:00,6,8,малооблачно; без осадков,769,91,западный,2
Черноморское,2016-02-16,2:00,9,11,ясно; без осадков,763,85,южный,5
Черноморское,2016-02-16,8:00,8,10,ясно; без осадков,765,89,южный,4
Черноморское,2016-02-16,14:00,11,13,ясно; без осадков,767,79,юго-западный,2
Черноморское,2016-02-16,20:00,8,10,пасмурно; без осадков,768,88,юго-восточный,2
Севастополь,2016-02-16,2:00,13,15,ясно; без осадков,765,69,юго-восточный,6
Севастополь,2016-02-16,8:00,11,13,ясно; без осадков,767,80,юго-восточный,4
Севастополь,2016-02-16,14:00,14,16,ясно; без осадков,768,75,южный,4
Севастополь,2016-02-16,20:00,10,12,пасмурно; без осадков,770,83,южный,4
Ялта,2016-02-17,2:00,12,14,ясно; без осадков,770,63,северо-западный,1
Ялта,2016-02-17,8:00,12,14,ясно; без осадков,770,66,западный,1
Ялта,2016-02-17,14:00,15,17,ясно; без осадков,770,81,северо-восточный,2
Ялта,2016-02-17,20:00,8,10,ясно; без осадков,773,95,северо-восточный,1
Алушта,2016-02-17,2:00,14,16,ясно; без осадков,767,59,южный,1
Алушта,2016-02-17,8:00,11,13,ясно; без осадков,768,69,юго-западный,1
Алушта,2016-02-17,14:00,14,16,ясно; без осадков,768,81,восточный,2
Алушта,2016-02-17,20:00,6,8,ясно; без осадков,771,89,северный,2
Бахчисарай,2016-02-17,2:00,7,9,ясно; без осадков,752,74,юго-восточный,3
Бахчисарай,2016-02-17,8:00,8,10,ясно; без осадков,752,81,северный,1
Бахчисарай,2016-02-17,14:00,13,15,ясно; без осадков,752,66,северный,4
Бахчисарай,2016-02-17,20:00,5,7,ясно; без осадков,754,69,северо-восточный,4
Джанкой,2016-02-17,2:00,7,9,ясно; без осадков,770,97,северный,3
Джанкой,2016-02-17,8:00,6,8,пасмурно; без осадков,772,83,северный,4
Джанкой,2016-02-17,14:00,9,11,ясно; без осадков,773,64,северный,4
Джанкой,2016-02-17,20:00,3,5,ясно; без осадков,775,73,северный,4
Евпатория,2016-02-17,2:00,7,9,ясно; без осадков,770,93,восточный,3
Евпатория,2016-02-17,8:00,7,9,ясно; без осадков,771,89,северо-восточный,8
Евпатория,2016-02-17,14:00,9,11,ясно; без осадков,772,71,северный,7
Евпатория,2016-02-17,20:00,6,8,ясно; без осадков,774,75,северо-восточный,7
Саки,2016-02-17,2:00,6,8,ясно; без осадков,770,90,восточный,2
Саки,2016-02-17,8:00,6,8,пасмурно; без осадков,770,91,северо-восточный,6
Саки,2016-02-17,14:00,11,13,ясно; без осадков,771,62,северо-восточный,6
Саки,2016-02-17,20:00,5,7,ясно; без осадков,773,75,северо-восточный,5
Керчь,2016-02-17,2:00,8,10,ясно; без осадков,771,95,южный,2
Керчь,2016-02-17,8:00,5,7,пасмурно; без осадков,771,98,северный,6
Керчь,2016-02-17,14:00,5,7,ясно; без осадков,773,85,северный,7
Керчь,2016-02-17,20:00,4,6,ясно; без осадков,774,84,северный,6
Красноперекопск,2016-02-17,2:00,7,9,ясно; без осадков,770,94,северо-восточный,4
Красноперекопск,2016-02-17,8:00,5,7,ясно; без осадков,773,87,северный,4
Красноперекопск,2016-02-17,14:00,8,10,ясно; без осадков,773,65,северный,4
Красноперекопск,2016-02-17,20:00,3,5,ясно; без осадков,775,77,северный,4
Щелкино,2016-02-17,2:00,6,8,ясно; без осадков,768,98,северо-западный,3
Щелкино,2016-02-17,8:00,3,5,пасмурно; без осадков,769,98,северный,6
Щелкино,2016-02-17,14:00,4,6,ясно; без осадков,770,85,северный,6
Щелкино,2016-02-17,20:00,4,6,ясно; без осадков,772,82,северный,6
Симферополь,2016-02-17,2:00,9,11,ясно; без осадков,748,70,южный,2
Симферополь,2016-02-17,8:00,8,10,облачно; без осадков,749,82,северо-восточный,3
Симферополь,2016-02-17,14:00,11,13,ясно; без осадков,749,68,северо-восточный,6
Симферополь,2016-02-17,20:00,3,5,ясно; без осадков,752,81,северо-восточный,5
Судак,2016-02-17,2:00,9,11,ясно; без осадков,767,90,северный,3
Судак,2016-02-17,8:00,8,10,облачно; без осадков,768,92,северо-западный,5
Судак,2016-02-17,14:00,9,11,ясно; без осадков,769,73,северный,6
Судак,2016-02-17,20:00,5,7,ясно; без осадков,771,81,северный,7
Феодосия,2016-02-17,2:00,9,11,ясно; без осадков,770,91,северо-западный,4
Феодосия,2016-02-17,8:00,5,7,пасмурно; без осадков,771,97,северо-западный,6
Феодосия,2016-02-17,14:00,7,9,ясно; без осадков,772,76,северный,7
Феодосия,2016-02-17,20:00,4,6,ясно; без осадков,774,82,северный,6
Армянск,2016-02-17,2:00,5,7,ясно; без осадков,770,93,северо-восточный,5
Армянск,2016-02-17,8:00,3,5,ясно; без осадков,772,90,северный,5
Армянск,2016-02-17,14:00,6,8,ясно; без осадков,773,71,северный,4
Армянск,2016-02-17,20:00,2,4,ясно; без осадков,775,79,северный,5
Черноморское,2016-02-17,2:00,7,9,ясно; без осадков,769,93,северо-восточный,4
Черноморское,2016-02-17,8:00,5,7,ясно; без осадков,771,89,северо-восточный,6
Черноморское,2016-02-17,14:00,7,9,ясно; без осадков,772,72,северный,6
Черноморское,2016-02-17,20:00,4,6,ясно; без осадков,774,77,северо-восточный,6
Севастополь,2016-02-17,2:00,8,10,ясно; без осадков,770,85,юго-восточный,2
Севастополь,2016-02-17,8:00,9,11,ясно; без осадков,770,86,северный,2
Севастополь,2016-02-17,14:00,13,15,ясно; без осадков,770,70,северный,4
Севастополь,2016-02-17,20:00,7,9,ясно; без осадков,773,71,северный,5
Ялта,2016-02-18,2:00,4,6,ясно; без осадков,773,89,северо-восточный,2
Ялта,2016-02-18,8:00,3,5,ясно; без осадков,773,76,северо-восточный,3
Ялта,2016-02-18,14:00,7,9,ясно; без осадков,771,52,северо-восточный,4
Ялта,2016-02-18,20:00,2,4,ясно; без осадков,770,69,северо-восточный,3
Алушта,2016-02-18,2:00,2,4,ясно; без осадков,772,85,северный,2
Алушта,2016-02-18,8:00,3,5,ясно; без осадков,771,72,северо-восточный,1
Алушта,2016-02-18,14:00,6,8,ясно; без осадков,769,57,восточный,2
Алушта,2016-02-18,20:00,2,4,ясно; без осадков,768,64,северо-восточный,2
Бахчисарай,2016-02-18,2:00,0,2,ясно; без осадков,754,84,северо-восточный,1
Бахчисарай,2016-02-18,8:00,2,4,малооблачно; без осадков,753,81,северо-восточный,1
Бахчисарай,2016-02-18,14:00,9,11,ясно; без осадков,751,54,западный,1
Бахчисарай,2016-02-18,20:00,1,3,ясно; без осадков,749,71,восточный,2
Джанкой,2016-02-18,2:00,0,2,ясно; без осадков,775,71,северо-восточный,3
Джанкой,2016-02-18,8:00,0,2,ясно; без осадков,774,73,северо-восточный,3
Джанкой,2016-02-18,14:00,4,6,ясно; без осадков,773,53,северо-восточный,6
Джанкой,2016-02-18,20:00,-1,1,ясно; без осадков,770,80,восточный,3
Евпатория,2016-02-18,2:00,3,5,ясно; без осадков,774,74,северо-восточный,8
Евпатория,2016-02-18,8:00,1,3,ясно; без осадков,773,75,северо-восточный,9
Евпатория,2016-02-18,14:00,6,8,ясно; без осадков,771,47,северо-восточный,8
Евпатория,2016-02-18,20:00,2,4,ясно; без осадков,769,69,северо-восточный,10
Саки,2016-02-18,2:00,1,3,ясно; без осадков,773,74,северо-восточный,6
Саки,2016-02-18,8:00,0,2,ясно; без осадков,773,72,северо-восточный,6
Саки,2016-02-18,14:00,7,9,ясно; без осадков,770,39,северо-восточный,7
Саки,2016-02-18,20:00,1,3,ясно; без осадков,768,64,северо-восточный,7
Керчь,2016-02-18,2:00,2,4,ясно; без осадков,775,66,северный,7
Керчь,2016-02-18,8:00,1,3,ясно; без осадков,775,70,северо-восточный,6
Керчь,2016-02-18,14:00,1,3,ясно; без осадков,773,73,северный,5
Керчь,2016-02-18,20:00,2,4,ясно; без осадков,771,69,северо-восточный,5
Красноперекопск,2016-02-18,2:00,-1,1,ясно; без осадков,776,78,северо-восточный,4
Красноперекопск,2016-02-18,8:00,-1,1,ясно; без осадков,774,80,северо-восточный,4
Красноперекопск,2016-02-18,14:00,4,6,ясно; без осадков,773,54,северо-восточный,6
Красноперекопск,2016-02-18,20:00,0,2,ясно; без осадков,770,74,восточный,5
Щелкино,2016-02-18,2:00,2,4,ясно; без осадков,772,64,северный,6
Щелкино,2016-02-18,8:00,1,3,ясно; без осадков,772,69,северо-восточный,6
Щелкино,2016-02-18,14:00,1,3,ясно; без осадков,770,71,северный,6
Щелкино,2016-02-18,20:00,1,3,ясно; без осадков,768,69,северо-восточный,4
Симферополь,2016-02-18,2:00,0,2,ясно; без осадков,751,82,северо-восточный,4
Симферополь,2016-02-18,8:00,0,2,ясно; без осадков,750,60,северо-восточный,4
Симферополь,2016-02-18,14:00,7,9,ясно; без осадков,748,38,северо-восточный,5
Симферополь,2016-02-18,20:00,1,3,ясно; без осадков,746,48,восточный,5
Судак,2016-02-18,2:00,2,4,ясно; без осадков,772,78,северный,6
Судак,2016-02-18,8:00,1,3,ясно; без осадков,771,73,северный,5
Судак,2016-02-18,14:00,5,7,ясно; без осадков,770,48,северо-восточный,5
Судак,2016-02-18,20:00,1,3,ясно; без осадков,768,72,северо-восточный,5
Феодосия,2016-02-18,2:00,1,3,ясно; без осадков,774,72,северный,5
Феодосия,2016-02-18,8:00,1,3,ясно; без осадков,774,74,северный,4
Феодосия,2016-02-18,14:00,4,6,ясно; без осадков,773,52,северный,5
Феодосия,2016-02-18,20:00,0,2,ясно; без осадков,771,78,северо-восточный,3
Армянск,2016-02-18,2:00,-1,1,ясно; без осадков,775,79,северо-восточный,5
Армянск,2016-02-18,8:00,0,-2,ясно; без осадков,774,79,северо-восточный,5
Армянск,2016-02-18,14:00,2,4,ясно; без осадков,772,64,северо-восточный,6
Армянск,2016-02-18,20:00,1,3,ясно; без осадков,770,74,восточный,5
Черноморское,2016-02-18,2:00,1,3,ясно; без осадков,774,74,северо-восточный,6
Черноморское,2016-02-18,8:00,0,2,ясно; без осадков,773,75,северо-восточный,6
Черноморское,2016-02-18,14:00,6,8,ясно; без осадков,770,46,северо-восточный,5
Черноморское,2016-02-18,20:00,2,4,ясно; без осадков,768,56,северо-восточный,6
Севастополь,2016-02-18,2:00,4,6,облачно; без осадков,773,81,северный,2
Севастополь,2016-02-18,8:00,5,7,малооблачно; без осадков,772,84,западный,1
Севастополь,2016-02-18,14:00,7,9,ясно; без осадков,770,64,западный,3
Севастополь,2016-02-18,20:00,6,8,ясно; без осадков,768,74,западный,1
Ялта,2016-02-19,2:00,2,4,ясно; без осадков,767,54,северо-восточный,4
Ялта,2016-02-19,8:00,3,5,ясно; без осадков,763,55,северный,4
Ялта,2016-02-19,14:00,6,8,пасмурно; без осадков,761,58,северо-восточный,4
Ялта,2016-02-19,20:00,2,4,пасмурно; без осадков,762,75,северный,3
Алушта,2016-02-19,2:00,1,3,ясно; без осадков,765,55,северо-восточный,2
Алушта,2016-02-19,8:00,2,4,ясно; без осадков,762,55,северный,2
Алушта,2016-02-19,14:00,6,8,ясно; без осадков,759,59,северо-восточный,3
Алушта,2016-02-19,20:00,1,3,ясно; без осадков,761,78,северный,2
Бахчисарай,2016-02-19,2:00,-1,1,ясно; без осадков,746,44,восточный,2
Бахчисарай,2016-02-19,8:00,1,3,ясно; без осадков,743,54,восточный,2
Бахчисарай,2016-02-19,14:00,8,10,облачно; без осадков,741,37,северо-восточный,3
Бахчисарай,2016-02-19,20:00,1,3,малооблачно; без осадков,743,61,северо-восточный,3
Джанкой,2016-02-19,2:00,0,2,ясно; без осадков,768,77,северо-восточный,5
Джанкой,2016-02-19,8:00,1,3,ясно; без осадков,764,74,северо-восточный,6
Джанкой,2016-02-19,14:00,1,3,пасмурно; без осадков,763,68,северо-восточный,8
Джанкой,2016-02-19,20:00,1,3,пасмурно; без осадков,764,71,северо-восточный,6
Евпатория,2016-02-19,2:00,2,4,ясно; без осадков,766,55,северо-восточный,11
Евпатория,2016-02-19,8:00,2,4,ясно; без осадков,763,70,северо-восточный,11
Евпатория,2016-02-19,14:00,5,7,облачно; без осадков,761,61,северо-восточный,11
Евпатория,2016-02-19,20:00,2,4,ясно; без осадков,763,78,северо-восточный,11
Саки,2016-02-19,2:00,0,2,ясно; без осадков,765,38,северо-восточный,8
Саки,2016-02-19,8:00,1,3,ясно; без осадков,762,57,северо-восточный,8
Саки,2016-02-19,14:00,4,6,ясно; без осадков,761,54,северо-восточный,9
Саки,2016-02-19,20:00,0,2,малооблачно; без осадков,762,75,северо-восточный,8
Керчь,2016-02-19,2:00,2,4,ясно; без осадков,769,76,северо-восточный,6
Керчь,2016-02-19,8:00,1,3,ясно; без осадков,766,79,северо-восточный,8
Керчь,2016-02-19,14:00,1,3,ясно; без осадков,763,74,северо-восточный,10
Керчь,2016-02-19,20:00,1,3,малооблачно; без осадков,764,70,северо-восточный,11
Красноперекопск,2016-02-19,2:00,1,3,ясно; без осадков,768,79,северо-восточный,6
Красноперекопск,2016-02-19,8:00,1,3,ясно; без осадков,765,79,северо-восточный,6
Красноперекопск,2016-02-19,14:00,2,4,облачно; без осадков,763,70,северо-восточный,9
Красноперекопск,2016-02-19,20:00,1,3,пасмурно; без осадков,765,75,северо-восточный,6
Щелкино,2016-02-19,2:00,1,3,ясно; без осадков,766,76,северо-восточный,7
Щелкино,2016-02-19,8:00,1,3,ясно; без осадков,762,75,северо-восточный,9
Щелкино,2016-02-19,14:00,1,3,ясно; без осадков,761,75,северо-восточный,10
Щелкино,2016-02-19,20:00,1,3,пасмурно; без осадков,761,71,северо-восточный,9
Симферополь,2016-02-19,2:00,0,2,ясно; без осадков,743,32,восточный,5
Симферополь,2016-02-19,8:00,2,4,ясно; без осадков,740,36,восточный,6
Симферополь,2016-02-19,14:00,4,6,ясно; без осадков,738,53,северо-восточный,7
Симферополь,2016-02-19,20:00,-1,1,ясно; без осадков,740,75,северо-восточный,6
Судак,2016-02-19,2:00,1,3,ясно; без осадков,765,75,северо-восточный,5
Судак,2016-02-19,8:00,2,4,ясно; без осадков,762,72,северо-восточный,7
Судак,2016-02-19,14:00,4,6,ясно; без осадков,759,66,северный,7
Судак,2016-02-19,20:00,1,3,облачно; без осадков,761,80,северный,7
Феодосия,2016-02-19,2:00,1,3,ясно; без осадков,768,79,северо-восточный,5
Феодосия,2016-02-19,8:00,1,3,ясно; без осадков,764,76,северо-восточный,6
Феодосия,2016-02-19,14:00,3,5,ясно; без осадков,762,65,северный,7
Феодосия,2016-02-19,20:00,1,3,малооблачно; без осадков,764,76,северо-восточный,5
Армянск,2016-02-19,2:00,0,2,ясно; без осадков,767,81,северо-восточный,7
Армянск,2016-02-19,8:00,0,2,ясно; без осадков,764,83,северо-восточный,7
Армянск,2016-02-19,14:00,1,3,малооблачно; без осадков,763,75,северо-восточный,9
Армянск,2016-02-19,20:00,0,2,облачно; без осадков,764,78,восточный,7
Черноморское,2016-02-19,2:00,1,3,ясно; без осадков,765,50,северо-восточный,8
Черноморское,2016-02-19,8:00,1,3,ясно; без осадков,763,71,северо-восточный,7
Черноморское,2016-02-19,14:00,4,6,пасмурно; без осадков,761,59,северо-восточный,7
Черноморское,2016-02-19,20:00,0,2,пасмурно; без осадков,763,77,северо-восточный,6
Севастополь,2016-02-19,2:00,4,6,ясно; без осадков,764,79,северо-западный,1
Севастополь,2016-02-19,8:00,3,5,ясно; без осадков,761,76,северо-восточный,1
Севастополь,2016-02-19,14:00,8,10,пасмурно; без осадков,759,49,юго-западный,3
Севастополь,2016-02-19,20:00,4,6,пасмурно; без осадков,761,77,северный,2
Ялта,2016-02-20,2:00,1,3,облачно; без осадков,764,82,северный,2
Ялта,2016-02-20,8:00,1,3,пасмурно; без осадков,765,79,северо-восточный,3
Ялта,2016-02-20,14:00,2,4,пасмурно; без осадков,766,72,северо-восточный,3
Ялта,2016-02-20,20:00,1,3,пасмурно; без осадков,765,80,северо-восточный,2
Алушта,2016-02-20,2:00,0,2,малооблачно; без осадков,762,82,северный,2
Алушта,2016-02-20,8:00,0,2,пасмурно; без осадков,764,76,северо-восточный,3
Алушта,2016-02-20,14:00,2,4,пасмурно; без осадков,764,64,северо-восточный,2
Алушта,2016-02-20,20:00,0,2,пасмурно; без осадков,763,74,северо-восточный,1
Бахчисарай,2016-02-20,2:00,-1,1,пасмурно; без осадков,744,76,северо-восточный,1
Бахчисарай,2016-02-20,8:00,1,3,пасмурно; без осадков,746,71,северо-восточный,1
Бахчисарай,2016-02-20,14:00,2,4,пасмурно; без осадков,746,73,западный,1
Бахчисарай,2016-02-20,20:00,0,2,пасмурно; без осадков,746,86,юго-западный,1
Джанкой,2016-02-20,2:00,0,2,облачно; без осадков,765,68,северо-восточный,5
Джанкой,2016-02-20,8:00,0,2,облачно; без осадков,767,63,северо-восточный,6
Джанкой,2016-02-20,14:00,1,3,облачно; без осадков,767,55,восточный,5
Джанкой,2016-02-20,20:00,-1,-3,пасмурно; без осадков,766,79,восточный,2
Евпатория,2016-02-20,2:00,1,3,пасмурно; без осадков,764,75,северо-восточный,9
Евпатория,2016-02-20,8:00,1,3,пасмурно; без осадков,766,75,северо-восточный,9
Евпатория,2016-02-20,14:00,3,5,пасмурно; без осадков,766,58,северо-восточный,6
Евпатория,2016-02-20,20:00,1,3,пасмурно; без осадков,765,69,северо-восточный,7
Саки,2016-02-20,2:00,0,2,облачно; без осадков,764,72,северо-восточный,6
Саки,2016-02-20,8:00,0,2,пасмурно; без осадков,765,70,северо-восточный,7
Саки,2016-02-20,14:00,3,5,пасмурно; без осадков,766,52,северо-восточный,4
Саки,2016-02-20,20:00,-1,1,пасмурно; без осадков,764,64,северо-восточный,4
Керчь,2016-02-20,2:00,1,3,малооблачно; без осадков,765,75,северо-восточный,8
Керчь,2016-02-20,8:00,-1,1,облачно; без осадков,767,74,северо-восточный,8
Керчь,2016-02-20,14:00,0,2,облачно; без осадков,767,71,северо-восточный,7
Керчь,2016-02-20,20:00,0,2,ясно; без осадков,767,72,северо-восточный,5
Красноперекопск,2016-02-20,2:00,0,2,пасмурно; без осадков,765,73,северо-восточный,5
Красноперекопск,2016-02-20,8:00,-1,1,облачно; без осадков,767,68,северо-восточный,6
Красноперекопск,2016-02-20,14:00,1,3,пасмурно; без осадков,767,56,восточный,5
Красноперекопск,2016-02-20,20:00,0,-2,пасмурно; без осадков,767,77,восточный,2
Щелкино,2016-02-20,2:00,1,3,облачно; без осадков,762,72,северо-восточный,8
Щелкино,2016-02-20,8:00,-1,1,пасмурно; без осадков,764,69,северо-восточный,9
Щелкино,2016-02-20,14:00,0,2,облачно; без осадков,764,67,северо-восточный,6
Щелкино,2016-02-20,20:00,0,2,ясно; без осадков,764,71,северо-восточный,5
Симферополь,2016-02-20,2:00,0,-2,малооблачно; без осадков,741,76,северо-восточный,4
Симферополь,2016-02-20,8:00,0,-2,пасмурно; без осадков,743,71,северо-восточный,5
Симферополь,2016-02-20,14:00,2,4,пасмурно; без осадков,743,55,северо-восточный,3
Симферополь,2016-02-20,20:00,-1,1,пасмурно; без осадков,743,67,северо-восточный,2
Судак,2016-02-20,2:00,1,3,облачно; без осадков,762,74,северный,6
Судак,2016-02-20,8:00,0,2,облачно; без осадков,764,74,северный,7
Судак,2016-02-20,14:00,2,4,малооблачно; без осадков,764,57,северный,4
Судак,2016-02-20,20:00,-1,1,пасмурно; без осадков,764,78,северный,4
Феодосия,2016-02-20,2:00,1,3,пасмурно; без осадков,764,69,северо-восточный,6
Феодосия,2016-02-20,8:00,0,2,облачно; без осадков,766,69,северо-восточный,6
Феодосия,2016-02-20,14:00,1,3,ясно; без осадков,767,56,северный,4
Феодосия,2016-02-20,20:00,-1,1,пасмурно; без осадков,766,77,северо-восточный,3
Армянск,2016-02-20,2:00,0,2,пасмурно; без осадков,765,77,северо-восточный,6
Армянск,2016-02-20,8:00,0,-2,малооблачно; без осадков,766,76,северо-восточный,7
Армянск,2016-02-20,14:00,0,2,пасмурно; без осадков,767,63,восточный,6
Армянск,2016-02-20,20:00,-1,1,пасмурно; без осадков,766,75,восточный,4
Черноморское,2016-02-20,2:00,0,2,малооблачно; без осадков,764,75,северо-восточный,5
Черноморское,2016-02-20,8:00,0,2,пасмурно; без осадков,765,72,северо-восточный,6
Черноморское,2016-02-20,14:00,3,5,пасмурно; без осадков,766,57,восточный,3
Черноморское,2016-02-20,20:00,1,3,пасмурно; без осадков,764,62,восточный,4
Севастополь,2016-02-20,2:00,2,4,пасмурно; без осадков,763,77,северный,2
Севастополь,2016-02-20,8:00,3,5,пасмурно; без осадков,764,77,юго-западный,1
Севастополь,2016-02-20,14:00,3,5,пасмурно; без осадков,766,78,северо-западный,1
Севастополь,2016-02-20,20:00,2,4,пасмурно; без осадков,764,82,южный,1
Ялта,2016-02-21,2:00,1,3,облачно; без осадков,764,86,северо-восточный,1
Ялта,2016-02-21,8:00,2,4,малооблачно; без осадков,763,80,северный,1
Ялта,2016-02-21,14:00,5,7,пасмурно; без осадков,761,76,южный,2
Ялта,2016-02-21,20:00,3,5,пасмурно; без осадков,762,93,южный,1
Алушта,2016-02-21,2:00,0,2,ясно; без осадков,761,81,северный,1
Алушта,2016-02-21,8:00,1,3,ясно; без осадков,761,73,северный,1
Алушта,2016-02-21,14:00,4,6,пасмурно; без осадков,759,73,юго-восточный,1
Алушта,2016-02-21,20:00,3,5,пасмурно; без осадков,760,90,южный,1
Бахчисарай,2016-02-21,2:00,0,2,пасмурно; без осадков,745,80,южный,1
Бахчисарай,2016-02-21,8:00,0,2,малооблачно; без осадков,744,81,южный,1
Бахчисарай,2016-02-21,14:00,4,6,пасмурно; без осадков,743,64,юго-западный,3
Бахчисарай,2016-02-21,20:00,2,4,пасмурно; без осадков,743,80,юго-восточный,3
Джанкой,2016-02-21,2:00,-1,-3,пасмурно; без осадков,764,82,северо-восточный,2
Джанкой,2016-02-21,8:00,-1,1,ясно; без осадков,764,80,северо-восточный,2
Джанкой,2016-02-21,14:00,4,6,пасмурно; без осадков,761,56,восточный,2
Джанкой,2016-02-21,20:00,-1,1,малооблачно; без осадков,762,78,восточный,3
Евпатория,2016-02-21,2:00,0,2,пасмурно; без осадков,764,75,северо-восточный,6
Евпатория,2016-02-21,8:00,0,2,пасмурно; без осадков,764,73,северо-восточный,5
Евпатория,2016-02-21,14:00,4,6,пасмурно; без осадков,761,74,южный,3
