Ялта,2014-01-01,1:00,3,5,пасмурно; без осадков,769,85,северо-восточный,5
Керчь,2014-01-30,19:00,-7,-9,пасмурно; без осадков,773,95,северо-восточный,15
Красноперекопск,2014-01-30,1:00,-3,-5,пасмурно; снег,762,88,северо-восточный,11
Красноперекопск,2014-01-30,7:00,-5,-7,пасмурно; снег,766,87,северо-восточный,11
Красноперекопск,2014-01-30,13:00,-8,-10,пасмурно; без осадков,770,87,северо-восточный,10
Красноперекопск,2014-01-30,19:00,-8,-10,пасмурно; без осадков,776,87,северо-восточный,9
Щелкино,2014-01-30,1:00,-3,-5,пасмурно; снег,758,93,северо-восточный,14
Щелкино,2014-01-30,7:00,-4,-6,пасмурно; снег,761,93,северо-восточный,14
Щелкино,2014-01-30,13:00,-5,-7,пасмурно; без осадков,765,92,северо-восточный,13
Щелкино,2014-01-30,19:00,-6,-8,пасмурно; без осадков,770,91,северо-восточный,13
Симферополь,2014-01-30,1:00,-3,-5,пасмурно; снег,737,91,северо-восточный,7
Симферополь,2014-01-30,7:00,-6,-8,пасмурно; без осадков,740,86,северо-восточный,9
Симферополь,2014-01-30,13:00,-7,-9,пасмурно; без осадков,744,81,северо-восточный,9
Симферополь,2014-01-30,19:00,-8,-10,пасмурно; без осадков,749,81,северо-восточный,8
Судак,2014-01-30,1:00,-3,-5,пасмурно; снег,758,94,северный,4
Судак,2014-01-30,7:00,-5,-7,пасмурно; без осадков,761,92,северо-восточный,6
Судак,2014-01-30,13:00,-6,-8,пасмурно; без осадков,765,88,северный,7
Судак,2014-01-30,19:00,-7,-9,пасмурно; без осадков,770,88,северный,6
Феодосия,2014-01-30,1:00,-3,-5,пасмурно; снег,761,94,северо-восточный,7
Феодосия,2014-01-30,7:00,-5,-7,пасмурно; без осадков,764,93,северо-восточный,8
Феодосия,2014-01-30,13:00,-6,-8,пасмурно; без осадков,767,90,северо-восточный,8
Феодосия,2014-01-30,19:00,-7,-9,пасмурно; без осадков,773,90,северо-восточный,8
Армянск,2014-01-30,1:00,-4,-6,пасмурно; снег,762,87,северо-восточный,12
Армянск,2014-01-30,7:00,-6,-8,пасмурно; снег,766,86,северо-восточный,11
Армянск,2014-01-30,13:00,-9,-11,пасмурно; без осадков,770,86,северо-восточный,10
Армянск,2014-01-30,19:00,-9,-11,пасмурно; без осадков,775,85,северо-восточный,10
Черноморское,2014-01-30,1:00,-1,-3,пасмурно; снег,760,93,северо-восточный,14
Черноморское,2014-01-30,7:00,-3,-5,пасмурно; без осадков,764,93,северо-восточный,15
Черноморское,2014-01-30,13:00,-4,-6,пасмурно; без осадков,769,88,северо-восточный,13
Черноморское,2014-01-30,19:00,-5,-7,пасмурно; без осадков,774,89,северо-восточный,14
Севастополь,2014-01-30,1:00,2,4,пасмурно; дождь,758,92,северо-восточный,10
Севастополь,2014-01-30,7:00,0,2,пасмурно; без осадков,761,89,северо-восточный,12
Севастополь,2014-01-30,13:00,0,-2,пасмурно; без осадков,767,85,северо-восточный,9
Севастополь,2014-01-30,19:00,-2,-4,пасмурно; без осадков,772,84,северо-восточный,9
Ялта,2014-02-05,1:00,-1,1,ясно; без осадков,770,63,северо-восточный,4
Ялта,2014-02-05,7:00,0,2,ясно; без осадков,770,53,северо-восточный,4
Ялта,2014-02-05,13:00,4,6,ясно; без осадков,768,56,северо-восточный,4
Ялта,2014-02-05,19:00,0,2,ясно; без осадков,767,70,восточный,3
Алушта,2014-02-05,1:00,-1,-3,ясно; без осадков,767,64,северо-восточный,3
Алушта,2014-02-05,7:00,0,-2,ясно; без осадков,767,51,северо-восточный,2
Алушта,2014-02-05,13:00,3,5,ясно; без осадков,766,53,северо-восточный,3
Алушта,2014-02-05,19:00,-1,1,ясно; без осадков,766,68,восточный,2
Бахчисарай,2014-02-05,1:00,-2,-4,ясно; без осадков,751,57,северо-восточный,3
Бахчисарай,2014-02-05,7:00,-1,-3,ясно; без осадков,750,45,восточный,3
Бахчисарай,2014-02-05,13:00,3,5,ясно; без осадков,749,48,северо-восточный,3
Бахчисарай,2014-02-05,19:00,-1,-3,ясно; без осадков,749,70,восточный,2
Джанкой,2014-02-05,1:00,-6,-8,ясно; без осадков,771,80,северный,3
Джанкой,2014-02-05,7:00,-5,-7,малооблачно; без осадков,770,71,северный,2
Джанкой,2014-02-05,13:00,0,-2,ясно; без осадков,769,65,северный,2
Джанкой,2014-02-05,19:00,-3,-5,ясно; без осадков,769,78,северо-восточный,1
Евпатория,2014-02-05,1:00,0,-2,ясно; без осадков,770,72,северо-восточный,3
Евпатория,2014-02-05,7:00,0,-2,ясно; без осадков,770,65,северо-восточный,3
Евпатория,2014-02-05,13:00,2,4,ясно; без осадков,769,61,северо-восточный,2
Евпатория,2014-02-05,19:00,-1,1,ясно; без осадков,768,71,северо-восточный,3
Саки,2014-02-05,1:00,-1,-3,ясно; без осадков,770,63,северо-восточный,3
Саки,2014-02-05,7:00,-1,-3,ясно; без осадков,770,52,восточный,3
Саки,2014-02-05,13:00,2,4,ясно; без осадков,768,52,северо-восточный,2
Саки,2014-02-05,19:00,0,-2,ясно; без осадков,768,71,северо-восточный,2
Керчь,2014-02-05,1:00,0,-2,ясно; без осадков,770,84,северный,4
Керчь,2014-02-05,7:00,0,-2,ясно; без осадков,770,80,северный,4
Керчь,2014-02-05,13:00,2,4,ясно; без осадков,769,63,северный,2
Керчь,2014-02-05,19:00,0,2,ясно; без осадков,769,80,северный,3
Красноперекопск,2014-02-05,1:00,-9,-11,малооблачно; без осадков,771,96,северо-восточный,4
Красноперекопск,2014-02-05,7:00,-8,-10,пасмурно; без осадков,771,89,северо-восточный,2
Красноперекопск,2014-02-05,13:00,-2,-4,ясно; без осадков,770,76,северо-восточный,2
Красноперекопск,2014-02-05,19:00,-5,-7,ясно; без осадков,769,87,северо-восточный,2
Щелкино,2014-02-05,1:00,0,-2,ясно; без осадков,767,83,северный,4
Щелкино,2014-02-05,7:00,0,-2,ясно; без осадков,767,82,северо-западный,4
Щелкино,2014-02-05,13:00,1,3,ясно; без осадков,766,59,северный,2
Щелкино,2014-02-05,19:00,-1,1,ясно; без осадков,766,74,северный,3
Симферополь,2014-02-05,1:00,-5,-7,ясно; без осадков,747,51,северо-восточный,2
Симферополь,2014-02-05,7:00,-3,-5,ясно; без осадков,747,36,восточный,2
Симферополь,2014-02-05,13:00,2,4,ясно; без осадков,746,40,северный,2
Симферополь,2014-02-05,19:00,-4,-6,ясно; без осадков,746,69,восточный,1
Судак,2014-02-05,1:00,-3,-5,ясно; без осадков,768,77,северный,2
Судак,2014-02-05,7:00,-2,-4,малооблачно; без осадков,768,62,северо-западный,2
Судак,2014-02-05,13:00,2,4,ясно; без осадков,767,56,северный,1
Судак,2014-02-05,19:00,-1,1,ясно; без осадков,766,64,северо-западный,1
Феодосия,2014-02-05,1:00,-2,-4,ясно; без осадков,770,82,северный,3
Феодосия,2014-02-05,7:00,-2,-4,малооблачно; без осадков,770,71,северо-западный,3
Феодосия,2014-02-05,13:00,3,5,ясно; без осадков,769,52,северный,1
Феодосия,2014-02-05,19:00,-1,1,ясно; без осадков,769,69,северо-западный,2
Армянск,2014-02-05,1:00,-8,-10,малооблачно; без осадков,770,97,северо-восточный,4
Армянск,2014-02-05,7:00,-8,-10,пасмурно; без осадков,770,93,северо-восточный,2
Армянск,2014-02-05,13:00,-2,-4,ясно; без осадков,769,77,северо-восточный,2
Армянск,2014-02-05,19:00,-5,-7,ясно; без осадков,768,86,северо-восточный,2
Черноморское,2014-02-05,1:00,-1,1,малооблачно; без осадков,770,87,северо-восточный,4
Черноморское,2014-02-05,7:00,0,-2,облачно; без осадков,770,90,северо-восточный,4
Черноморское,2014-02-05,13:00,0,2,ясно; без осадков,768,80,северо-восточный,3
Черноморское,2014-02-05,19:00,0,2,ясно; без осадков,767,75,северо-восточный,4
Севастополь,2014-02-05,1:00,1,3,ясно; без осадков,770,66,северо-восточный,4
Севастополь,2014-02-05,7:00,1,3,ясно; без осадков,770,60,восточный,4
Севастополь,2014-02-05,13:00,3,5,ясно; без осадков,768,61,северо-восточный,3
Севастополь,2014-02-05,19:00,1,3,ясно; без осадков,768,71,восточный,4
Ялта,2014-02-11,1:00,6,8,малооблачно; без осадков,761,93,юго-западный,5
Ялта,2014-02-11,7:00,6,8,малооблачно; без осадков,763,94,юго-западный,4
Ялта,2014-02-11,13:00,10,12,ясно; без осадков,763,79,южный,2
Ялта,2014-02-11,19:00,7,9,ясно; без осадков,764,82,юго-восточный,3
Алушта,2014-02-11,1:00,5,7,облачно; без осадков,758,94,юго-западный,4
Алушта,2014-02-11,7:00,5,7,малооблачно; без осадков,761,94,юго-западный,3
Алушта,2014-02-11,13:00,10,12,ясно; без осадков,761,78,южный,2
Алушта,2014-02-11,19:00,6,8,ясно; без осадков,762,83,юго-восточный,3
Бахчисарай,2014-02-11,1:00,4,6,облачно; без осадков,743,94,юго-западный,4
Бахчисарай,2014-02-11,7:00,4,6,облачно; без осадков,745,94,юго-западный,3
Бахчисарай,2014-02-11,13:00,9,11,ясно; без осадков,745,74,южный,2
Бахчисарай,2014-02-11,19:00,5,7,ясно; без осадков,746,78,юго-восточный,4
Джанкой,2014-02-11,1:00,4,6,пасмурно; без осадков,761,97,юго-западный,3
Джанкой,2014-02-11,7:00,3,5,пасмурно; без осадков,763,97,юго-западный,3
Джанкой,2014-02-11,13:00,8,10,пасмурно; без осадков,763,82,юго-западный,2
Джанкой,2014-02-11,19:00,4,6,ясно; без осадков,764,91,юго-восточный,4
Евпатория,2014-02-11,1:00,5,7,пасмурно; без осадков,761,93,юго-западный,4
Евпатория,2014-02-11,7:00,5,7,пасмурно; без осадков,764,91,юго-западный,2
Евпатория,2014-02-11,13:00,9,11,ясно; без осадков,763,83,южный,3
Евпатория,2014-02-11,19:00,6,8,ясно; без осадков,764,85,юго-восточный,6
Саки,2014-02-11,1:00,5,7,пасмурно; без осадков,761,94,юго-западный,3
Саки,2014-02-11,7:00,5,7,облачно; без осадков,763,93,южный,3
Саки,2014-02-11,13:00,10,12,ясно; без осадков,763,78,южный,3
Саки,2014-02-11,19:00,6,8,ясно; без осадков,763,81,юго-восточный,5
Керчь,2014-02-11,1:00,7,9,облачно; без осадков,761,94,южный,5
Керчь,2014-02-11,7:00,6,8,облачно; без осадков,764,94,юго-западный,1
Керчь,2014-02-11,13:00,7,9,облачно; без осадков,764,91,южный,4
Керчь,2014-02-11,19:00,7,9,ясно; без осадков,766,92,юго-восточный,4
Красноперекопск,2014-02-11,1:00,3,5,пасмурно; без осадков,761,97,юго-западный,3
Красноперекопск,2014-02-11,7:00,3,5,пасмурно; без осадков,763,97,юго-западный,3
Красноперекопск,2014-02-11,13:00,7,9,пасмурно; без осадков,764,83,южный,2
Красноперекопск,2014-02-11,19:00,2,4,ясно; без осадков,764,94,юго-восточный,3
Щелкино,2014-02-11,1:00,6,8,облачно; без осадков,758,94,юго-западный,4
Щелкино,2014-02-11,7:00,5,7,облачно; без осадков,761,96,западный,1
Щелкино,2014-02-11,13:00,7,9,облачно; без осадков,761,90,южный,3
Щелкино,2014-02-11,19:00,6,8,ясно; без осадков,762,93,юго-восточный,3
Симферополь,2014-02-11,1:00,3,5,пасмурно; без осадков,739,97,южный,4
Симферополь,2014-02-11,7:00,4,6,облачно; без осадков,741,96,южный,3
Симферополь,2014-02-11,13:00,10,12,ясно; без осадков,741,70,юго-западный,3
Симферополь,2014-02-11,19:00,3,5,ясно; без осадков,742,75,юго-восточный,3
Судак,2014-02-11,1:00,3,5,малооблачно; без осадков,759,97,юго-западный,2
Судак,2014-02-11,7:00,4,6,ясно; без осадков,761,94,юго-западный,2
Судак,2014-02-11,13:00,9,11,малооблачно; без осадков,761,84,южный,2
Судак,2014-02-11,19:00,4,6,малооблачно; без осадков,763,95,южный,3
Феодосия,2014-02-11,1:00,4,6,малооблачно; без осадков,761,97,юго-западный,2
Феодосия,2014-02-11,7:00,4,6,ясно; без осадков,764,95,северо-восточный,1
Феодосия,2014-02-11,13:00,9,11,облачно; без осадков,764,86,юго-восточный,3
Феодосия,2014-02-11,19:00,5,7,малооблачно; без осадков,765,95,южный,3
Армянск,2014-02-11,1:00,3,5,пасмурно; без осадков,759,97,юго-западный,3
Армянск,2014-02-11,7:00,2,4,пасмурно; без осадков,762,97,юго-западный,3
Армянск,2014-02-11,13:00,7,9,облачно; без осадков,762,85,южный,2
Армянск,2014-02-11,19:00,2,4,ясно; без осадков,763,95,юго-восточный,3
Черноморское,2014-02-11,1:00,5,7,пасмурно; без осадков,760,92,западный,5
Черноморское,2014-02-11,7:00,4,6,облачно; без осадков,762,90,юго-западный,2
Черноморское,2014-02-11,13:00,6,8,ясно; без осадков,762,93,юго-восточный,3
Черноморское,2014-02-11,19:00,6,8,ясно; без осадков,762,90,юго-восточный,6
Севастополь,2014-02-11,1:00,6,8,облачно; без осадков,761,91,юго-западный,5
Севастополь,2014-02-11,7:00,6,8,малооблачно; без осадков,763,92,юго-западный,3
Севастополь,2014-02-11,13:00,9,11,ясно; без осадков,763,82,южный,3
Севастополь,2014-02-11,19:00,7,9,ясно; без осадков,764,83,юго-восточный,5
Ялта,2014-02-04,1:00,-1,1,малооблачно; без осадков,770,75,северо-восточный,7
Ялта,2014-02-04,7:00,-1,1,облачно; без осадков,770,76,северо-восточный,8
Ялта,2014-02-04,13:00,2,4,ясно; без осадков,769,66,северо-восточный,6
Ялта,2014-02-04,19:00,0,2,ясно; без осадков,770,72,северо-восточный,4
Алушта,2014-02-04,1:00,-1,-3,малооблачно; без осадков,768,77,северо-восточный,6
Алушта,2014-02-04,7:00,0,-2,малооблачно; без осадков,767,78,северо-восточный,6
Алушта,2014-02-04,13:00,2,4,ясно; без осадков,767,67,северо-восточный,5
Алушта,2014-02-04,19:00,0,-2,ясно; без осадков,768,77,северо-восточный,3
Бахчисарай,2014-02-04,1:00,-1,-3,малооблачно; без осадков,751,71,северо-восточный,7
Бахчисарай,2014-02-04,7:00,-1,-3,малооблачно; без осадков,751,73,северо-восточный,7
Бахчисарай,2014-02-04,13:00,1,3,ясно; без осадков,751,59,северо-восточный,6
Бахчисарай,2014-02-04,19:00,-1,-3,ясно; без осадков,751,72,северо-восточный,4
Джанкой,2014-02-04,1:00,-1,-3,малооблачно; без осадков,772,82,северо-восточный,5
Джанкой,2014-02-04,7:00,-2,-4,облачно; без осадков,772,84,северо-восточный,5
Джанкой,2014-02-04,13:00,0,2,ясно; без осадков,770,74,северо-восточный,4
Джанкой,2014-02-04,19:00,-4,-6,ясно; без осадков,771,88,северо-восточный,4
Евпатория,2014-02-04,1:00,-1,1,ясно; без осадков,771,79,северо-восточный,8
Евпатория,2014-02-04,7:00,0,-2,облачно; без осадков,771,83,северо-восточный,9
Евпатория,2014-02-04,13:00,2,4,ясно; без осадков,770,67,северо-восточный,7
Евпатория,2014-02-04,19:00,-1,1,ясно; без осадков,771,81,северо-восточный,5
Саки,2014-02-04,1:00,0,-2,ясно; без осадков,770,75,северо-восточный,7
Саки,2014-02-04,7:00,0,-2,малооблачно; без осадков,770,78,северо-восточный,8
Саки,2014-02-04,13:00,2,4,ясно; без осадков,770,62,северо-восточный,6
Саки,2014-02-04,19:00,-1,-3,ясно; без осадков,770,78,северо-восточный,4
Керчь,2014-02-04,1:00,-2,-4,малооблачно; без осадков,772,87,северо-восточный,10
Керчь,2014-02-04,7:00,-2,-4,облачно; без осадков,772,88,северо-восточный,9
Керчь,2014-02-04,13:00,-1,1,ясно; без осадков,770,75,северо-восточный,8
Керчь,2014-02-04,19:00,0,-2,ясно; без осадков,771,83,северо-восточный,5
Красноперекопск,2014-02-04,1:00,-1,-3,облачно; без осадков,773,86,северо-восточный,4
Красноперекопск,2014-02-04,7:00,-3,-5,пасмурно; без осадков,772,91,северо-восточный,5
Красноперекопск,2014-02-04,13:00,-1,1,ясно; без осадков,771,80,северо-восточный,4
Красноперекопск,2014-02-04,19:00,-6,-8,ясно; без осадков,772,94,северо-восточный,5
Щелкино,2014-02-04,1:00,-1,-3,ясно; без осадков,769,85,северо-восточный,8
Щелкино,2014-02-04,7:00,-1,-3,облачно; без осадков,769,86,северо-восточный,8
Щелкино,2014-02-04,13:00,0,2,ясно; без осадков,767,74,северо-восточный,7
Щелкино,2014-02-04,19:00,0,-2,ясно; без осадков,768,84,северный,4
Симферополь,2014-02-04,1:00,-4,-6,ясно; без осадков,748,68,северо-восточный,5
Симферополь,2014-02-04,7:00,-3,-5,малооблачно; без осадков,747,71,северо-восточный,6
Симферополь,2014-02-04,13:00,1,3,ясно; без осадков,747,55,северо-восточный,5
Симферополь,2014-02-04,19:00,-4,-6,ясно; без осадков,748,74,восточный,2
Судак,2014-02-04,1:00,-4,-6,ясно; без осадков,769,88,северный,4
Судак,2014-02-04,7:00,-3,-5,ясно; без осадков,769,90,северный,4
Судак,2014-02-04,13:00,1,3,ясно; без осадков,767,78,северный,3
Судак,2014-02-04,19:00,-2,-4,ясно; без осадков,769,89,северный,2
Феодосия,2014-02-04,1:00,-4,-6,ясно; без осадков,772,89,северный,5
Феодосия,2014-02-04,7:00,-3,-5,малооблачно; без осадков,771,90,северный,5
Феодосия,2014-02-04,13:00,1,3,ясно; без осадков,770,74,северный,4
Феодосия,2014-02-04,19:00,-2,-4,ясно; без осадков,771,89,северный,3
Армянск,2014-02-04,1:00,-2,-4,облачно; без осадков,772,87,северо-восточный,5
Армянск,2014-02-04,7:00,-4,-6,пасмурно; без осадков,772,92,северо-восточный,5
Армянск,2014-02-04,13:00,-1,1,ясно; без осадков,770,81,северо-восточный,4
Армянск,2014-02-04,19:00,-6,-8,ясно; без осадков,771,93,северо-восточный,5
Черноморское,2014-02-04,1:00,-1,1,малооблачно; без осадков,770,85,северо-восточный,10
Черноморское,2014-02-04,7:00,-1,1,облачно; без осадков,770,89,северо-восточный,9
Черноморское,2014-02-04,13:00,1,3,ясно; без осадков,770,77,северо-восточный,8
Черноморское,2014-02-04,19:00,0,2,ясно; без осадков,770,84,северо-восточный,6
Севастополь,2014-02-04,1:00,0,2,ясно; без осадков,770,75,северо-восточный,8
Севастополь,2014-02-04,7:00,0,2,малооблачно; без осадков,770,77,северо-восточный,9
Севастополь,2014-02-04,13:00,3,5,ясно; без осадков,770,67,северо-восточный,7
Севастополь,2014-02-04,19:00,1,3,ясно; без осадков,770,73,северо-восточный,5
Ялта,2014-02-07,1:00,0,2,ясно; без осадков,765,79,восточный,2
Ялта,2014-02-07,7:00,1,3,ясно; без осадков,765,75,восточный,1
Ялта,2014-02-07,13:00,4,6,облачно; без осадков,764,70,юго-западный,1
Ялта,2014-02-07,19:00,2,4,облачно; без осадков,765,82,юго-восточный,2
Алушта,2014-02-07,1:00,0,-2,ясно; без осадков,763,81,восточный,1
Алушта,2014-02-07,7:00,-1,1,ясно; без осадков,763,76,юго-восточный,1
Алушта,2014-02-07,13:00,4,6,малооблачно; без осадков,762,70,западный,1
Алушта,2014-02-07,19:00,0,2,облачно; без осадков,763,85,южный,2
Бахчисарай,2014-02-07,1:00,-1,-3,ясно; без осадков,746,81,восточный,1
Бахчисарай,2014-02-07,7:00,-1,1,ясно; без осадков,746,76,восточный,1
Бахчисарай,2014-02-07,13:00,3,5,малооблачно; без осадков,746,67,юго-западный,1
Бахчисарай,2014-02-07,19:00,-1,1,облачно; без осадков,746,83,юго-восточный,2
Джанкой,2014-02-07,1:00,-1,-3,облачно; без осадков,766,89,восточный,2
Джанкой,2014-02-07,7:00,-1,-3,облачно; без осадков,766,87,восточный,1
Джанкой,2014-02-07,13:00,1,3,облачно; без осадков,765,76,юго-восточный,1
Джанкой,2014-02-07,19:00,-1,1,облачно; без осадков,765,87,юго-восточный,2
Евпатория,2014-02-07,1:00,0,2,малооблачно; без осадков,766,84,восточный,2
Евпатория,2014-02-07,7:00,0,2,малооблачно; без осадков,766,84,восточный,3
Евпатория,2014-02-07,13:00,4,6,облачно; без осадков,765,73,южный,2
Евпатория,2014-02-07,19:00,3,5,пасмурно; без осадков,765,81,южный,4
Саки,2014-02-07,1:00,-1,1,ясно; без осадков,765,84,восточный,1
Саки,2014-02-07,7:00,0,2,малооблачно; без осадков,765,81,восточный,2
Саки,2014-02-07,13:00,4,6,малооблачно; без осадков,764,70,южный,1
Саки,2014-02-07,19:00,1,3,облачно; без осадков,765,83,юго-восточный,3
Керчь,2014-02-07,1:00,-1,1,малооблачно; без осадков,766,89,северо-восточный,3
Керчь,2014-02-07,7:00,0,2,пасмурно; без осадков,766,91,северо-восточный,2
Керчь,2014-02-07,13:00,2,4,облачно; без осадков,766,78,северо-западный,1
Керчь,2014-02-07,19:00,1,3,облачно; без осадков,766,84,северо-западный,1
Красноперекопск,2014-02-07,1:00,0,-2,облачно; без осадков,766,94,восточный,3
Красноперекопск,2014-02-07,7:00,-2,-4,пасмурно; без осадков,766,95,восточный,1
Красноперекопск,2014-02-07,13:00,0,2,облачно; без осадков,765,80,юго-восточный,2
Красноперекопск,2014-02-07,19:00,-1,1,пасмурно; без осадков,765,88,юго-восточный,3
Щелкино,2014-02-07,1:00,-1,1,малооблачно; без осадков,763,88,северо-восточный,2
Щелкино,2014-02-07,7:00,-1,1,пасмурно; без осадков,763,88,северо-восточный,1
Щелкино,2014-02-07,13:00,1,3,малооблачно; без осадков,762,73,северо-западный,1
Щелкино,2014-02-07,19:00,0,2,малооблачно; без осадков,763,84,западный,1
Симферополь,2014-02-07,1:00,-4,-6,ясно; без осадков,743,82,юго-восточный,1
Симферополь,2014-02-07,7:00,-1,-3,ясно; без осадков,743,75,юго-восточный,1
Симферополь,2014-02-07,13:00,3,5,ясно; без осадков,743,65,северо-западный,1
Симферополь,2014-02-07,19:00,-1,-3,облачно; без осадков,743,87,юго-восточный,2
Судак,2014-02-07,1:00,-2,-4,ясно; без осадков,764,85,южный,1
Судак,2014-02-07,7:00,-1,-3,ясно; без осадков,764,78,юго-западный,1
Судак,2014-02-07,13:00,3,5,малооблачно; без осадков,763,73,западный,1
Судак,2014-02-07,19:00,-1,1,пасмурно; без осадков,764,92,южный,3
Феодосия,2014-02-07,1:00,-2,-4,ясно; без осадков,766,88,северный,1
Феодосия,2014-02-07,7:00,0,-2,малооблачно; без осадков,766,83,северо-западный,1
Феодосия,2014-02-07,13:00,3,5,малооблачно; без осадков,765,70,западный,1
Феодосия,2014-02-07,19:00,-1,1,малооблачно; без осадков,766,91,южный,1
Армянск,2014-02-07,1:00,-1,-3,облачно; без осадков,765,94,восточный,3
Армянск,2014-02-07,7:00,-2,-4,пасмурно; без осадков,765,96,восточный,2
Армянск,2014-02-07,13:00,0,2,облачно; без осадков,764,81,юго-восточный,3
Армянск,2014-02-07,19:00,-1,1,облачно; без осадков,764,88,юго-восточный,3
Черноморское,2014-02-07,1:00,2,4,облачно; без осадков,765,83,восточный,4
Черноморское,2014-02-07,7:00,1,3,пасмурно; без осадков,765,87,восточный,4
Черноморское,2014-02-07,13:00,4,6,пасмурно; без осадков,764,79,юго-восточный,3
Черноморское,2014-02-07,19:00,4,6,пасмурно; без осадков,764,81,южный,5
Севастополь,2014-02-07,1:00,1,3,малооблачно; без осадков,765,80,восточный,2
Севастополь,2014-02-07,7:00,2,4,малооблачно; без осадков,765,78,восточный,2
Севастополь,2014-02-07,13:00,4,6,облачно; без осадков,764,71,южный,2
Севастополь,2014-02-07,19:00,3,5,облачно; без осадков,765,79,южный,3
Ялта,2014-02-08,1:00,2,4,ясно; без осадков,764,84,юго-восточный,3
Ялта,2014-02-08,7:00,3,5,ясно; без осадков,764,88,юго-восточный,5
Ялта,2014-02-08,13:00,8,10,ясно; без осадков,763,77,южный,5
Ялта,2014-02-08,19:00,6,8,облачно; без осадков,762,82,южный,6
Алушта,2014-02-08,1:00,1,3,ясно; без осадков,763,86,юго-восточный,2
Алушта,2014-02-08,7:00,2,4,ясно; без осадков,763,89,юго-восточный,4
Алушта,2014-02-08,13:00,8,10,малооблачно; без осадков,761,77,южный,5
Алушта,2014-02-08,19:00,5,7,облачно; без осадков,760,84,южный,5
Бахчисарай,2014-02-08,1:00,0,2,малооблачно; без осадков,746,85,юго-восточный,3
Бахчисарай,2014-02-08,7:00,1,3,ясно; без осадков,746,87,юго-восточный,4
Бахчисарай,2014-02-08,13:00,8,10,ясно; без осадков,744,70,южный,5
Бахчисарай,2014-02-08,19:00,5,7,пасмурно; без осадков,743,81,южный,6
Джанкой,2014-02-08,1:00,-1,1,облачно; без осадков,765,88,юго-восточный,3
Джанкой,2014-02-08,7:00,1,3,облачно; без осадков,764,88,юго-восточный,5
Джанкой,2014-02-08,13:00,5,7,облачно; без осадков,763,79,юго-восточный,4
Джанкой,2014-02-08,19:00,3,5,облачно; без осадков,761,90,юго-восточный,5
Евпатория,2014-02-08,1:00,3,5,облачно; без осадков,764,83,южный,5
Евпатория,2014-02-08,7:00,4,6,облачно; без осадков,764,85,юго-восточный,6
Евпатория,2014-02-08,13:00,7,9,ясно; без осадков,762,79,южный,7
Евпатория,2014-02-08,19:00,6,8,облачно; без осадков,761,86,южный,7
Саки,2014-02-08,1:00,2,4,малооблачно; без осадков,764,85,южный,4
Саки,2014-02-08,7:00,3,5,малооблачно; без осадков,764,86,юго-восточный,5
Саки,2014-02-08,13:00,8,10,ясно; без осадков,762,73,южный,6
Саки,2014-02-08,19:00,6,8,облачно; без осадков,761,84,южный,6
Керчь,2014-02-08,1:00,2,4,облачно; без осадков,766,82,южный,1
Керчь,2014-02-08,7:00,3,5,пасмурно; без осадков,767,79,южный,3
Керчь,2014-02-08,13:00,5,7,пасмурно; без осадков,765,77,юго-восточный,6
Керчь,2014-02-08,19:00,6,8,облачно; без осадков,764,88,юго-восточный,8
Красноперекопск,2014-02-08,1:00,-1,1,облачно; без осадков,764,88,юго-восточный,3
Красноперекопск,2014-02-08,7:00,1,3,облачно; без осадков,764,88,юго-восточный,4
Красноперекопск,2014-02-08,13:00,4,6,пасмурно; без осадков,763,82,юго-восточный,4
Красноперекопск,2014-02-08,19:00,2,4,малооблачно; без осадков,761,91,юго-восточный,4
Щелкино,2014-02-08,1:00,1,3,облачно; без осадков,763,83,южный,2
Щелкино,2014-02-08,7:00,3,5,пасмурно; без осадков,763,82,юго-восточный,4
Щелкино,2014-02-08,13:00,5,7,пасмурно; без осадков,761,80,юго-восточный,6
Щелкино,2014-02-08,19:00,5,7,облачно; без осадков,761,91,юго-восточный,7
Симферополь,2014-02-08,1:00,-1,-3,малооблачно; без осадков,743,89,юго-восточный,2
Симферополь,2014-02-08,7:00,-1,1,ясно; без осадков,743,89,юго-восточный,3
Симферополь,2014-02-08,13:00,8,10,ясно; без осадков,740,65,южный,5
Симферополь,2014-02-08,19:00,3,5,пасмурно; без осадков,740,82,южный,5
Судак,2014-02-08,1:00,-1,1,ясно; без осадков,763,91,южный,2
Судак,2014-02-08,7:00,1,3,малооблачно; без осадков,763,93,южный,4
Судак,2014-02-08,13:00,6,8,пасмурно; без осадков,761,89,южный,4
Судак,2014-02-08,19:00,4,6,малооблачно; без осадков,761,93,южный,4
Феодосия,2014-02-08,1:00,-1,1,малооблачно; без осадков,766,90,южный,2
Феодосия,2014-02-08,7:00,1,3,облачно; без осадков,766,89,южный,4
Феодосия,2014-02-08,13:00,6,8,пасмурно; без осадков,764,85,южный,5
Феодосия,2014-02-08,19:00,4,6,облачно; без осадков,763,94,южный,5
Армянск,2014-02-08,1:00,-1,1,облачно; без осадков,764,89,юго-восточный,3
Армянск,2014-02-08,7:00,1,3,облачно; без осадков,764,89,юго-восточный,4
Армянск,2014-02-08,13:00,4,6,пасмурно; без осадков,761,83,юго-восточный,4
Армянск,2014-02-08,19:00,2,4,облачно; без осадков,761,92,юго-восточный,4
Черноморское,2014-02-08,1:00,5,7,пасмурно; без осадков,763,84,южный,6
