Ялта,2013-01-01,1:00,5,7,ясно; без осадков,761,83,северо-восточный,1
Севастополь,2013-02-13,1:00,4,6,ясно; без осадков,766,86,восточный,1
Севастополь,2013-02-13,13:00,8,10,малооблачно; без осадков,767,73,восточный,4
Ялта,2013-02-14,1:00,7,9,малооблачно; без осадков,761,88,северо-восточный,6
Ялта,2013-02-14,7:00,8,10,облачно; без осадков,759,81,северо-восточный,7
Ялта,2013-02-14,19:00,5,7,малооблачно; без осадков,756,90,северо-восточный,10
Алушта,2013-02-14,1:00,5,7,малооблачно; без осадков,765,90,северо-восточный,4
Алушта,2013-02-14,7:00,6,8,облачно; без осадков,764,81,северо-восточный,5
Алушта,2013-02-14,19:00,4,6,облачно; без осадков,761,92,северо-восточный,8
Бахчисарай,2013-02-14,1:00,3,5,облачно; без осадков,752,88,северо-восточный,4
Бахчисарай,2013-02-14,7:00,4,6,пасмурно; без осадков,751,78,северо-восточный,6
Бахчисарай,2013-02-14,19:00,1,3,облачно; без осадков,746,89,северо-восточный,9
Джанкой,2013-02-14,1:00,2,4,ясно; без осадков,769,92,восточный,3
Джанкой,2013-02-14,7:00,2,4,малооблачно; без осадков,768,90,северо-восточный,5
Джанкой,2013-02-14,19:00,2,4,ясно; без осадков,764,90,северо-восточный,6
Евпатория,2013-02-14,1:00,4,6,малооблачно; без осадков,767,89,северо-восточный,5
Евпатория,2013-02-14,7:00,4,6,пасмурно; без осадков,767,83,северо-восточный,7
Евпатория,2013-02-14,19:00,3,5,облачно; без осадков,762,89,северо-восточный,10
Саки,2013-02-14,1:00,3,5,облачно; без осадков,767,89,северо-восточный,4
Саки,2013-02-14,7:00,4,6,пасмурно; без осадков,765,80,северо-восточный,6
Саки,2013-02-14,19:00,2,4,облачно; без осадков,761,90,северо-восточный,9
Керчь,2013-02-14,1:00,3,5,ясно; без осадков,769,87,северо-восточный,6
Керчь,2013-02-14,7:00,2,4,ясно; без осадков,768,89,северо-восточный,8
Керчь,2013-02-14,19:00,4,6,ясно; без осадков,762,87,северо-восточный,9
Красноперекопск,2013-02-14,1:00,1,3,ясно; без осадков,769,92,северо-восточный,4
Красноперекопск,2013-02-14,7:00,1,3,ясно; без осадков,768,93,северо-восточный,6
Красноперекопск,2013-02-14,19:00,1,3,ясно; без осадков,764,88,северо-восточный,6
Щелкино,2013-02-14,1:00,2,4,ясно; без осадков,770,89,северо-восточный,5
Щелкино,2013-02-14,7:00,2,4,ясно; без осадков,769,89,северо-восточный,7
Щелкино,2013-02-14,19:00,3,5,ясно; без осадков,764,89,северо-восточный,8
Симферополь,2013-02-14,1:00,1,3,пасмурно; без осадков,746,90,восточный,2
Симферополь,2013-02-14,7:00,3,5,пасмурно; без осадков,745,76,северо-восточный,4
Симферополь,2013-02-14,19:00,-1,1,облачно; без осадков,740,91,северо-восточный,7
Судак,2013-02-14,1:00,3,5,малооблачно; без осадков,767,94,северо-восточный,2
Судак,2013-02-14,7:00,3,5,облачно; без осадков,766,87,северо-восточный,3
Судак,2013-02-14,19:00,4,6,пасмурно; без осадков,761,96,северный,5
Феодосия,2013-02-14,1:00,3,5,малооблачно; без осадков,767,91,северо-восточный,3
Феодосия,2013-02-14,7:00,3,5,облачно; без осадков,767,86,северо-восточный,4
Феодосия,2013-02-14,19:00,4,6,облачно; без осадков,761,93,северный,6
Армянск,2013-02-14,1:00,1,3,ясно; без осадков,768,92,северо-восточный,4
Армянск,2013-02-14,7:00,1,3,ясно; без осадков,767,94,северо-восточный,6
Армянск,2013-02-14,19:00,2,4,ясно; без осадков,764,87,северо-восточный,6
Черноморское,2013-02-14,1:00,3,5,малооблачно; без осадков,767,89,северо-восточный,7
Черноморское,2013-02-14,7:00,3,5,малооблачно; без осадков,767,88,северо-восточный,8
Черноморское,2013-02-14,19:00,3,5,малооблачно; без осадков,763,86,северо-восточный,10
Севастополь,2013-02-14,1:00,5,7,малооблачно; без осадков,766,87,северо-восточный,7
Севастополь,2013-02-14,7:00,6,8,облачно; без осадков,765,82,северо-восточный,8
Севастополь,2013-02-14,19:00,3,5,малооблачно; без осадков,761,88,северо-восточный,11
Ялта,2013-02-17,1:00,4,6,пасмурно; без осадков,756,87,северо-западный,4
Ялта,2013-02-17,7:00,4,6,пасмурно; без осадков,757,84,северо-западный,3
Ялта,2013-02-17,19:00,3,5,малооблачно; без осадков,758,81,северо-западный,3
Алушта,2013-02-17,1:00,4,6,пасмурно; без осадков,760,90,северо-западный,3
Алушта,2013-02-17,7:00,4,6,пасмурно; без осадков,760,88,северо-западный,3
Алушта,2013-02-17,19:00,3,5,облачно; без осадков,761,84,северо-западный,2
Бахчисарай,2013-02-17,1:00,-1,1,пасмурно; без осадков,748,89,северо-западный,3
Бахчисарай,2013-02-17,7:00,-1,1,пасмурно; без осадков,748,87,северо-западный,3
Бахчисарай,2013-02-17,19:00,-1,1,облачно; без осадков,749,84,северо-западный,3
Джанкой,2013-02-17,1:00,0,2,пасмурно; без осадков,763,94,северо-западный,3
Джанкой,2013-02-17,7:00,-1,1,пасмурно; без осадков,763,91,северо-западный,3
Джанкой,2013-02-17,19:00,0,2,пасмурно; без осадков,764,84,северо-западный,3
Евпатория,2013-02-17,1:00,1,3,пасмурно; без осадков,764,86,северо-западный,4
Евпатория,2013-02-17,7:00,1,3,пасмурно; без осадков,764,85,северо-западный,3
Евпатория,2013-02-17,19:00,1,3,пасмурно; без осадков,764,81,северный,3
Саки,2013-02-17,1:00,1,3,пасмурно; без осадков,763,89,северо-западный,3
Саки,2013-02-17,7:00,0,2,пасмурно; без осадков,763,88,северо-западный,3
Саки,2013-02-17,19:00,1,3,пасмурно; без осадков,764,84,северный,3
Керчь,2013-02-17,1:00,1,3,пасмурно; без осадков,762,86,северо-западный,4
Керчь,2013-02-17,7:00,0,2,пасмурно; без осадков,763,84,северо-западный,4
Керчь,2013-02-17,19:00,-1,1,пасмурно; без осадков,764,79,северо-западный,4
Красноперекопск,2013-02-17,1:00,-1,1,пасмурно; без осадков,763,93,северо-западный,2
Красноперекопск,2013-02-17,7:00,-1,1,пасмурно; без осадков,764,90,северо-западный,2
Красноперекопск,2013-02-17,19:00,0,2,пасмурно; без осадков,765,84,северо-западный,3
Щелкино,2013-02-17,1:00,0,2,пасмурно; без осадков,763,89,северо-западный,4
Щелкино,2013-02-17,7:00,0,2,пасмурно; без осадков,764,86,северо-западный,4
Щелкино,2013-02-17,19:00,-1,1,пасмурно; без осадков,765,80,северо-западный,4
Симферополь,2013-02-17,1:00,0,-2,пасмурно; без осадков,741,95,северо-западный,2
Симферополь,2013-02-17,7:00,0,-2,пасмурно; без осадков,741,92,северо-западный,2
Симферополь,2013-02-17,19:00,0,-2,пасмурно; без осадков,743,89,северный,2
Судак,2013-02-17,1:00,0,2,пасмурно; без осадков,761,93,северо-западный,3
Судак,2013-02-17,7:00,0,2,пасмурно; без осадков,761,91,северо-западный,3
Судак,2013-02-17,19:00,0,2,пасмурно; без осадков,763,89,северо-западный,2
Феодосия,2013-02-17,1:00,0,2,пасмурно; без осадков,761,92,северо-западный,3
Феодосия,2013-02-17,7:00,0,2,пасмурно; без осадков,762,90,северо-западный,3
Феодосия,2013-02-17,19:00,0,2,пасмурно; без осадков,764,88,северо-западный,2
Армянск,2013-02-17,1:00,0,2,пасмурно; без осадков,763,92,северо-западный,3
Армянск,2013-02-17,7:00,0,2,пасмурно; без осадков,763,89,северо-западный,3
Армянск,2013-02-17,19:00,0,2,пасмурно; без осадков,764,83,северо-западный,3
Черноморское,2013-02-17,1:00,1,3,пасмурно; без осадков,764,83,северо-западный,5
Черноморское,2013-02-17,7:00,1,3,пасмурно; без осадков,764,82,северо-западный,4
Черноморское,2013-02-17,19:00,1,3,пасмурно; без осадков,764,79,северный,5
Севастополь,2013-02-17,1:00,2,4,пасмурно; без осадков,761,84,северо-западный,5
Севастополь,2013-02-17,7:00,2,4,пасмурно; без осадков,761,83,северо-западный,4
Севастополь,2013-02-17,19:00,2,4,облачно; без осадков,764,80,северо-западный,3
Ялта,2013-02-15,1:00,5,7,малооблачно; без осадков,752,92,северо-восточный,10
Ялта,2013-02-15,19:00,5,7,облачно; без осадков,750,88,северный,3
Алушта,2013-02-15,1:00,5,7,облачно; без осадков,757,94,северо-восточный,8
Алушта,2013-02-15,19:00,4,6,облачно; без осадков,755,92,северный,5
Бахчисарай,2013-02-15,1:00,2,4,облачно; без осадков,743,94,северо-восточный,9
Бахчисарай,2013-02-15,19:00,0,2,пасмурно; без осадков,742,90,северный,5
Джанкой,2013-02-15,1:00,2,4,пасмурно; без осадков,761,91,северо-восточный,7
Джанкой,2013-02-15,19:00,1,3,пасмурно; без осадков,758,88,северный,5
Евпатория,2013-02-15,1:00,3,5,пасмурно; без осадков,759,91,северо-восточный,10
Евпатория,2013-02-15,19:00,1,3,пасмурно; без осадков,758,85,северный,8
Саки,2013-02-15,1:00,3,5,пасмурно; без осадков,758,93,северо-восточный,9
Саки,2013-02-15,19:00,0,2,пасмурно; без осадков,757,88,северный,7
Керчь,2013-02-15,1:00,4,6,ясно; без осадков,759,88,северо-восточный,10
Керчь,2013-02-15,19:00,3,5,ясно; без осадков,755,84,северо-восточный,8
Красноперекопск,2013-02-15,1:00,2,4,пасмурно; без осадков,761,86,северо-восточный,7
Красноперекопск,2013-02-15,19:00,1,3,пасмурно; без осадков,758,84,северный,4
Щелкино,2013-02-15,1:00,3,5,ясно; без осадков,760,90,северо-восточный,9
Щелкино,2013-02-15,19:00,2,4,ясно; без осадков,756,88,северный,8
Симферополь,2013-02-15,1:00,0,2,пасмурно; без осадков,737,97,северо-восточный,7
Симферополь,2013-02-15,19:00,0,-2,пасмурно; без осадков,735,94,северный,6
Судак,2013-02-15,1:00,5,7,пасмурно; без осадков,758,97,северный,5
Судак,2013-02-15,19:00,1,3,пасмурно; без осадков,755,96,северо-западный,6
Феодосия,2013-02-15,1:00,5,7,облачно; без осадков,758,94,северный,6
Феодосия,2013-02-15,19:00,1,3,облачно; без осадков,755,92,северный,6
Армянск,2013-02-15,1:00,2,4,пасмурно; без осадков,761,86,северо-восточный,7
Армянск,2013-02-15,19:00,2,4,пасмурно; без осадков,758,84,северный,4
Черноморское,2013-02-15,1:00,2,4,пасмурно; без осадков,760,87,северо-восточный,11
Черноморское,2013-02-15,19:00,1,3,пасмурно; без осадков,758,82,северный,9
Севастополь,2013-02-15,1:00,3,5,облачно; без осадков,758,90,северо-восточный,10
Севастополь,2013-02-15,19:00,3,5,пасмурно; без осадков,755,86,северный,6
Ялта,2013-02-16,1:00,4,6,облачно; без осадков,752,90,северо-западный,2
Ялта,2013-02-16,7:00,4,6,пасмурно; без осадков,753,90,северный,3
Ялта,2013-02-16,19:00,5,7,пасмурно; без осадков,756,87,западный,5
Алушта,2013-02-16,1:00,4,6,пасмурно; без осадков,755,93,северо-западный,4
Алушта,2013-02-16,7:00,3,5,пасмурно; без осадков,757,93,северный,3
Алушта,2013-02-16,19:00,5,7,пасмурно; без осадков,760,90,западный,3
Бахчисарай,2013-02-16,1:00,-1,1,пасмурно; без осадков,743,91,северный,3
Бахчисарай,2013-02-16,7:00,-1,1,пасмурно; без осадков,744,91,северный,3
Бахчисарай,2013-02-16,19:00,-1,1,пасмурно; без осадков,748,90,северо-западный,4
Джанкой,2013-02-16,1:00,0,2,пасмурно; без осадков,758,90,северный,5
Джанкой,2013-02-16,7:00,-1,1,пасмурно; без осадков,759,92,северо-западный,4
Джанкой,2013-02-16,19:00,1,3,пасмурно; без осадков,762,90,северо-западный,3
Евпатория,2013-02-16,1:00,0,2,пасмурно; без осадков,759,88,северный,6
Евпатория,2013-02-16,7:00,0,2,пасмурно; без осадков,760,86,северный,6
Евпатория,2013-02-16,19:00,1,3,пасмурно; без осадков,764,85,северо-западный,5
Саки,2013-02-16,1:00,0,2,пасмурно; без осадков,758,90,северный,6
Саки,2013-02-16,7:00,0,2,пасмурно; без осадков,759,89,северный,5
Саки,2013-02-16,19:00,1,3,пасмурно; без осадков,763,89,северо-западный,4
Керчь,2013-02-16,1:00,1,3,малооблачно; без осадков,756,90,северный,7
Керчь,2013-02-16,7:00,1,3,пасмурно; без осадков,758,91,северный,6
Керчь,2013-02-16,19:00,1,3,пасмурно; без осадков,762,86,северо-западный,5
Красноперекопск,2013-02-16,1:00,0,2,пасмурно; без осадков,759,88,северный,5
Красноперекопск,2013-02-16,7:00,-1,1,пасмурно; без осадков,760,90,северо-западный,5
Красноперекопск,2013-02-16,19:00,1,3,пасмурно; без осадков,763,88,северо-западный,3
Щелкино,2013-02-16,1:00,1,3,облачно; без осадков,757,91,северный,7
Щелкино,2013-02-16,7:00,0,2,пасмурно; без осадков,758,92,северный,6
Щелкино,2013-02-16,19:00,1,3,пасмурно; без осадков,763,86,северо-западный,5
Симферополь,2013-02-16,1:00,0,-2,пасмурно; без осадков,736,95,северный,4
Симферополь,2013-02-16,7:00,0,-2,пасмурно; без осадков,737,95,северный,3
Симферополь,2013-02-16,19:00,0,-2,пасмурно; без осадков,741,95,северо-западный,2
Судак,2013-02-16,1:00,1,3,пасмурно; без осадков,755,96,северо-западный,5
Судак,2013-02-16,7:00,0,2,пасмурно; без осадков,757,96,северо-западный,4
Судак,2013-02-16,19:00,1,3,пасмурно; без осадков,761,92,северо-западный,3
Феодосия,2013-02-16,1:00,1,3,облачно; без осадков,756,95,северный,6
Феодосия,2013-02-16,7:00,0,2,пасмурно; без осадков,757,95,северо-западный,5
Феодосия,2013-02-16,19:00,1,3,пасмурно; без осадков,761,90,северо-западный,4
Армянск,2013-02-16,1:00,2,4,пасмурно; без осадков,759,88,северный,5
Армянск,2013-02-16,7:00,1,3,пасмурно; без осадков,760,90,северо-западный,5
Армянск,2013-02-16,19:00,1,3,пасмурно; без осадков,763,87,северо-западный,4
Черноморское,2013-02-16,1:00,1,3,пасмурно; без осадков,759,85,северный,8
Черноморское,2013-02-16,7:00,0,2,пасмурно; без осадков,761,84,северный,7
Черноморское,2013-02-16,19:00,2,4,пасмурно; без осадков,764,81,северо-западный,6
Севастополь,2013-02-16,1:00,3,5,пасмурно; без осадков,756,87,северный,5
Севастополь,2013-02-16,7:00,3,5,пасмурно; без осадков,758,86,северный,5
Севастополь,2013-02-16,19:00,2,4,пасмурно; без осадков,761,84,северо-западный,5
Ялта,2013-02-18,1:00,2,4,облачно; без осадков,758,82,северо-западный,2
Алушта,2013-02-18,1:00,2,4,облачно; без осадков,761,86,северо-западный,2
Бахчисарай,2013-02-18,1:00,0,-2,облачно; без осадков,749,87,северный,2
Джанкой,2013-02-18,1:00,-1,1,пасмурно; без осадков,765,84,северный,2
Евпатория,2013-02-18,1:00,0,2,пасмурно; без осадков,764,85,северный,4
Саки,2013-02-18,1:00,0,2,пасмурно; без осадков,764,88,северный,3
Керчь,2013-02-18,1:00,-1,1,пасмурно; без осадков,764,76,северный,3
Красноперекопск,2013-02-18,1:00,0,-2,пасмурно; без осадков,765,83,северный,3
Щелкино,2013-02-18,1:00,-1,1,пасмурно; без осадков,765,79,северный,3
Симферополь,2013-02-18,1:00,-1,-3,пасмурно; без осадков,743,93,северный,2
Судак,2013-02-18,1:00,-1,1,пасмурно; без осадков,763,90,северо-западный,2
Феодосия,2013-02-18,1:00,-1,1,пасмурно; без осадков,764,87,северный,2
Армянск,2013-02-18,1:00,0,-2,пасмурно; без осадков,764,82,северный,3
Черноморское,2013-02-18,1:00,0,2,пасмурно; без осадков,764,82,северный,5
Севастополь,2013-02-18,1:00,1,3,облачно; без осадков,763,82,северный,2
Ялта,2013-02-19,1:00,1,3,малооблачно; без осадков,758,83,северо-западный,3
Ялта,2013-02-19,13:00,3,5,пасмурно; без осадков,758,63,западный,2
Алушта,2013-02-19,1:00,0,2,облачно; без осадков,762,85,северо-западный,2
Алушта,2013-02-19,13:00,3,5,пасмурно; без осадков,761,65,юго-западный,1
Бахчисарай,2013-02-19,1:00,-1,-3,облачно; без осадков,749,84,северо-западный,2
Бахчисарай,2013-02-19,13:00,1,3,пасмурно; без осадков,749,61,западный,1
Джанкой,2013-02-19,1:00,0,-2,пасмурно; без осадков,765,77,северо-западный,2
Джанкой,2013-02-19,13:00,1,3,пасмурно; без осадков,764,64,юго-западный,2
Евпатория,2013-02-19,1:00,-1,1,пасмурно; без осадков,765,79,северо-западный,3
Евпатория,2013-02-19,13:00,1,3,пасмурно; без осадков,764,63,западный,1
Саки,2013-02-19,1:00,0,-2,пасмурно; без осадков,764,83,северо-западный,3
Саки,2013-02-19,13:00,2,4,пасмурно; без осадков,763,62,западный,1
Керчь,2013-02-19,1:00,-1,1,облачно; без осадков,764,74,северный,3
Керчь,2013-02-19,13:00,1,3,ясно; без осадков,764,65,юго-западный,2
Красноперекопск,2013-02-19,1:00,-1,-3,пасмурно; без осадков,765,77,северо-западный,2
Красноперекопск,2013-02-19,13:00,0,2,пасмурно; без осадков,764,62,юго-западный,2
Щелкино,2013-02-19,1:00,-1,1,пасмурно; без осадков,765,72,северо-западный,3
Щелкино,2013-02-19,13:00,1,3,малооблачно; без осадков,765,66,южный,2
Симферополь,2013-02-19,1:00,-3,-5,облачно; без осадков,743,89,северный,1
Симферополь,2013-02-19,13:00,0,2,пасмурно; без осадков,742,61,западный,1
Судак,2013-02-19,1:00,0,-2,пасмурно; без осадков,763,86,северо-западный,2
Судак,2013-02-19,13:00,2,4,пасмурно; без осадков,762,72,южный,1
Феодосия,2013-02-19,1:00,0,-2,пасмурно; без осадков,764,82,северный,2
Феодосия,2013-02-19,13:00,2,4,пасмурно; без осадков,763,70,южный,1
Армянск,2013-02-19,1:00,-1,-3,пасмурно; без осадков,764,76,северо-западный,2
Армянск,2013-02-19,13:00,0,2,пасмурно; без осадков,764,63,юго-западный,2
Черноморское,2013-02-19,1:00,-1,1,пасмурно; без осадков,765,72,северо-западный,4
Черноморское,2013-02-19,13:00,0,2,облачно; без осадков,764,67,юго-западный,1
Севастополь,2013-02-19,1:00,0,2,малооблачно; без осадков,764,78,северо-западный,4
Севастополь,2013-02-19,13:00,3,5,пасмурно; без осадков,763,62,западный,1
Ялта,2013-02-20,1:00,1,3,облачно; без осадков,755,79,восточный,6
Ялта,2013-02-20,7:00,3,5,пасмурно; без осадков,754,79,восточный,6
Алушта,2013-02-20,1:00,0,2,малооблачно; без осадков,760,83,восточный,4
Алушта,2013-02-20,7:00,2,4,пасмурно; без осадков,758,82,восточный,5
Бахчисарай,2013-02-20,1:00,-2,-4,малооблачно; без осадков,746,85,северо-восточный,5
Бахчисарай,2013-02-20,7:00,-1,1,пасмурно; без осадков,745,81,северо-восточный,5
Джанкой,2013-02-20,1:00,-1,-3,облачно; без осадков,763,87,северо-восточный,4
Джанкой,2013-02-20,7:00,0,2,малооблачно; без осадков,761,86,северо-восточный,5
Евпатория,2013-02-20,1:00,-1,1,малооблачно; без осадков,762,86,северо-восточный,5
Евпатория,2013-02-20,7:00,0,2,пасмурно; без осадков,761,86,северо-восточный,6
Саки,2013-02-20,1:00,-1,-3,малооблачно; без осадков,761,89,северо-восточный,5
Саки,2013-02-20,7:00,0,2,пасмурно; без осадков,760,85,северо-восточный,5
Керчь,2013-02-20,1:00,1,3,облачно; без осадков,764,78,восточный,4
Керчь,2013-02-20,7:00,2,4,малооблачно; без осадков,762,84,северо-восточный,8
Красноперекопск,2013-02-20,1:00,-2,-4,облачно; без осадков,763,87,северо-восточный,4
Красноперекопск,2013-02-20,7:00,0,2,малооблачно; без осадков,762,88,северо-восточный,5
Щелкино,2013-02-20,1:00,1,3,пасмурно; без осадков,764,76,восточный,4
Щелкино,2013-02-20,7:00,2,4,облачно; без осадков,763,84,северо-восточный,7
Симферополь,2013-02-20,1:00,-5,-7,ясно; без осадков,740,93,северо-восточный,4
Симферополь,2013-02-20,7:00,-1,-3,пасмурно; без осадков,738,83,северо-восточный,3
Судак,2013-02-20,1:00,1,3,малооблачно; без осадков,761,85,восточный,3
Судак,2013-02-20,7:00,1,3,пасмурно; без осадков,759,87,восточный,4
Феодосия,2013-02-20,1:00,1,3,облачно; без осадков,761,82,восточный,3
Феодосия,2013-02-20,7:00,2,4,облачно; без осадков,761,86,северо-восточный,5
Армянск,2013-02-20,1:00,-2,-4,облачно; без осадков,763,86,северо-восточный,4
Армянск,2013-02-20,7:00,-1,1,малооблачно; без осадков,761,87,северо-восточный,5
Черноморское,2013-02-20,1:00,1,3,малооблачно; без осадков,762,80,восточный,6
Черноморское,2013-02-20,7:00,0,2,малооблачно; без осадков,761,86,северо-восточный,8
Севастополь,2013-02-20,1:00,2,4,облачно; без осадков,760,78,восточный,6
Севастополь,2013-02-20,7:00,3,5,пасмурно; без осадков,758,81,северо-восточный,7
Ялта,2013-02-21,1:00,4,6,облачно; без осадков,758,89,северный,1
Ялта,2013-02-21,13:00,6,8,ясно; без осадков,760,69,западный,2
Алушта,2013-02-21,1:00,2,4,пасмурно; без осадков,762,92,северный,2
Алушта,2013-02-21,13:00,5,7,малооблачно; без осадков,764,69,западный,2
Бахчисарай,2013-02-21,1:00,1,3,пасмурно; без осадков,749,91,северо-восточный,2
Бахчисарай,2013-02-21,13:00,4,6,ясно; без осадков,750,66,западный,2
Джанкой,2013-02-21,1:00,2,4,пасмурно; без осадков,764,89,северный,3
Джанкой,2013-02-21,13:00,5,7,облачно; без осадков,765,74,северо-западный,1
Евпатория,2013-02-21,1:00,3,5,пасмурно; без осадков,764,88,северо-восточный,3
Евпатория,2013-02-21,13:00,5,7,ясно; без осадков,766,71,северо-восточный,1
Саки,2013-02-21,1:00,2,4,пасмурно; без осадков,764,91,северо-восточный,2
Саки,2013-02-21,13:00,5,7,ясно; без осадков,765,67,северо-западный,1
Керчь,2013-02-21,1:00,2,4,облачно; без осадков,764,87,северный,5
Керчь,2013-02-21,13:00,3,5,малооблачно; без осадков,766,81,западный,2
Красноперекопск,2013-02-21,1:00,1,3,пасмурно; без осадков,765,84,северо-восточный,2
Красноперекопск,2013-02-21,13:00,4,6,малооблачно; без осадков,766,74,северный,1
Щелкино,2013-02-21,1:00,2,4,малооблачно; без осадков,764,90,северный,4
Щелкино,2013-02-21,13:00,3,5,облачно; без осадков,766,81,западный,2
Симферополь,2013-02-21,1:00,0,2,пасмурно; без осадков,742,95,северо-восточный,2
Симферополь,2013-02-21,13:00,4,6,ясно; без осадков,743,63,западный,2
Судак,2013-02-21,1:00,1,3,пасмурно; без осадков,762,96,северо-западный,3
Судак,2013-02-21,13:00,6,8,облачно; без осадков,764,72,западный,1
Феодосия,2013-02-21,1:00,2,4,малооблачно; без осадков,763,95,северо-западный,3
Феодосия,2013-02-21,13:00,6,8,облачно; без осадков,764,73,западный,2
Армянск,2013-02-21,1:00,0,2,пасмурно; без осадков,764,82,северо-восточный,2
Армянск,2013-02-21,13:00,3,5,малооблачно; без осадков,765,74,северо-восточный,1
Черноморское,2013-02-21,1:00,1,3,пасмурно; без осадков,764,81,северо-восточный,3
Черноморское,2013-02-21,13:00,2,4,ясно; без осадков,765,78,восточный,2
Севастополь,2013-02-21,1:00,4,6,облачно; без осадков,763,88,северный,2
Севастополь,2013-02-21,13:00,6,8,ясно; без осадков,764,69,северо-западный,1
Ялта,2013-02-22,1:00,5,7,облачно; без осадков,758,88,северо-восточный,6
Ялта,2013-02-22,19:00,9,11,пасмурно; без осадков,753,85,северо-восточный,8
Алушта,2013-02-22,1:00,3,5,малооблачно; без осадков,762,90,восточный,4
Алушта,2013-02-22,19:00,9,11,пасмурно; без осадков,758,84,северо-восточный,7
Бахчисарай,2013-02-22,1:00,1,3,малооблачно; без осадков,749,89,восточный,5
Бахчисарай,2013-02-22,19:00,5,7,пасмурно; без осадков,745,85,северо-восточный,8
Джанкой,2013-02-22,1:00,1,3,ясно; без осадков,766,93,восточный,3
Джанкой,2013-02-22,19:00,5,7,пасмурно; без осадков,761,84,северо-восточный,8
Евпатория,2013-02-22,1:00,3,5,ясно; без осадков,764,87,северо-восточный,5
Евпатория,2013-02-22,19:00,5,7,пасмурно; без осадков,760,84,северо-восточный,8
Саки,2013-02-22,1:00,2,4,ясно; без осадков,764,89,северо-восточный,4
Саки,2013-02-22,19:00,5,7,пасмурно; без осадков,759,84,северо-восточный,7
Керчь,2013-02-22,1:00,1,3,ясно; без осадков,766,91,северо-восточный,3
Керчь,2013-02-22,19:00,5,7,пасмурно; без осадков,761,74,северо-восточный,10
Красноперекопск,2013-02-22,1:00,0,2,ясно; без осадков,766,92,восточный,3
Красноперекопск,2013-02-22,19:00,4,6,пасмурно; без осадков,762,85,северо-восточный,8
Щелкино,2013-02-22,1:00,1,3,ясно; без осадков,767,91,северо-восточный,3
Щелкино,2013-02-22,19:00,4,6,пасмурно; без осадков,762,78,северо-восточный,10
Симферополь,2013-02-22,1:00,-1,1,ясно; без осадков,743,92,восточный,3
Симферополь,2013-02-22,19:00,4,6,пасмурно; без осадков,738,84,северо-восточный,6
Судак,2013-02-22,1:00,0,2,ясно; без осадков,764,91,восточный,2
Судак,2013-02-22,19:00,5,7,пасмурно; без осадков,758,83,северо-восточный,5
Феодосия,2013-02-22,1:00,0,2,ясно; без осадков,765,91,северо-восточный,2
Феодосия,2013-02-22,19:00,6,8,пасмурно; без осадков,760,79,северо-восточный,6
Армянск,2013-02-22,1:00,0,2,ясно; без осадков,765,92,восточный,3
Армянск,2013-02-22,19:00,3,5,пасмурно; без осадков,761,84,северо-восточный,8
Черноморское,2013-02-22,1:00,2,4,ясно; без осадков,764,85,северо-восточный,7
Черноморское,2013-02-22,19:00,3,5,пасмурно; без осадков,760,87,северо-восточный,9
Севастополь,2013-02-22,1:00,5,7,малооблачно; без осадков,763,86,северо-восточный,7
Севастополь,2013-02-22,19:00,6,8,пасмурно; без осадков,758,85,северо-восточный,9
Ялта,2013-02-23,1:00,8,10,пасмурно; без осадков,752,88,северо-восточный,7
Ялта,2013-02-23,7:00,7,9,пасмурно; без осадков,753,89,северо-восточный,8
Алушта,2013-02-23,1:00,8,10,пасмурно; без осадков,757,89,северо-восточный,6
Алушта,2013-02-23,7:00,7,9,пасмурно; без осадков,758,91,северо-восточный,7
Бахчисарай,2013-02-23,1:00,4,6,пасмурно; без осадков,744,89,северо-восточный,7
Бахчисарай,2013-02-23,7:00,3,5,пасмурно; без осадков,745,89,северо-восточный,8
Джанкой,2013-02-23,1:00,4,6,пасмурно; без осадков,761,86,северо-восточный,7
Джанкой,2013-02-23,7:00,3,5,пасмурно; без осадков,762,88,северо-восточный,8
Евпатория,2013-02-23,1:00,3,5,пасмурно; без осадков,760,87,северо-восточный,8
Евпатория,2013-02-23,7:00,2,4,пасмурно; без осадков,761,88,северо-восточный,9
Саки,2013-02-23,1:00,3,5,пасмурно; без осадков,759,88,северо-восточный,7
Саки,2013-02-23,7:00,2,4,пасмурно; без осадков,760,89,северо-восточный,8
Керчь,2013-02-23,1:00,3,5,пасмурно; без осадков,761,80,северо-восточный,10
Керчь,2013-02-23,7:00,2,4,пасмурно; без осадков,761,88,северо-восточный,11
Красноперекопск,2013-02-23,1:00,3,5,пасмурно; без осадков,761,85,северо-восточный,8
Красноперекопск,2013-02-23,7:00,3,5,пасмурно; без осадков,763,87,северо-восточный,9
Щелкино,2013-02-23,1:00,2,4,пасмурно; без осадков,761,82,северо-восточный,9
Щелкино,2013-02-23,7:00,2,4,пасмурно; без осадков,762,88,северо-восточный,10
Симферополь,2013-02-23,1:00,3,5,пасмурно; без осадков,737,90,северо-восточный,5
Симферополь,2013-02-23,7:00,2,4,пасмурно; без осадков,738,91,северо-восточный,6
Судак,2013-02-23,1:00,4,6,пасмурно; без осадков,758,88,северо-восточный,4
Судак,2013-02-23,7:00,3,5,пасмурно; без осадков,759,94,северо-восточный,5
Феодосия,2013-02-23,1:00,4,6,пасмурно; без осадков,759,85,северо-восточный,5
