Ялта,2015-01-06,2:00,1,3,ясно; без осадков,757,75,северо-западный,5
Армянск,2015-01-25,14:00,4,6,малооблачно; без осадков,761,80,восточный,5
Армянск,2015-01-25,20:00,1,3,малооблачно; без осадков,761,93,северо-восточный,4
Черноморское,2015-01-25,2:00,3,5,ясно; без осадков,758,80,восточный,3
Черноморское,2015-01-25,8:00,4,6,ясно; без осадков,759,86,восточный,4
Черноморское,2015-01-25,14:00,9,11,пасмурно; без осадков,759,78,восточный,3
Черноморское,2015-01-25,20:00,4,6,малооблачно; без осадков,761,91,восточный,3
Севастополь,2015-01-25,2:00,6,8,ясно; без осадков,758,78,юго-восточный,3
Севастополь,2015-01-25,8:00,5,7,ясно; без осадков,760,83,восточный,3
Севастополь,2015-01-25,14:00,11,13,малооблачно; без осадков,760,77,северо-западный,2
Севастополь,2015-01-25,20:00,3,5,ясно; без осадков,761,91,юго-восточный,2
Ялта,2015-01-26,2:00,9,11,ясно; без осадков,761,74,северный,3
Ялта,2015-01-26,8:00,9,11,ясно; без осадков,762,74,северный,3
Ялта,2015-01-26,14:00,9,11,ясно; без осадков,762,92,северо-восточный,1
Ялта,2015-01-26,20:00,8,10,малооблачно; без осадков,764,99,юго-западный,1
Алушта,2015-01-26,2:00,9,11,ясно; без осадков,760,75,северный,2
Алушта,2015-01-26,8:00,8,10,ясно; без осадков,760,73,северо-западный,1
Алушта,2015-01-26,14:00,9,11,ясно; без осадков,760,85,юго-восточный,1
Алушта,2015-01-26,20:00,7,9,облачно; без осадков,761,96,южный,1
Бахчисарай,2015-01-26,2:00,0,2,ясно; без осадков,743,92,восточный,2
Бахчисарай,2015-01-26,8:00,0,2,ясно; без осадков,744,89,восточный,1
Бахчисарай,2015-01-26,14:00,11,13,ясно; без осадков,743,58,северный,1
Бахчисарай,2015-01-26,20:00,3,5,ясно; без осадков,745,98,восточный,1
Джанкой,2015-01-26,2:00,-1,1,малооблачно; без осадков,762,99,северо-восточный,2
Джанкой,2015-01-26,8:00,2,4,пасмурно; без осадков,764,98,северо-восточный,3
Джанкой,2015-01-26,14:00,5,7,ясно; без осадков,763,75,северо-восточный,4
Джанкой,2015-01-26,20:00,1,3,пасмурно; без осадков,764,90,восточный,3
Евпатория,2015-01-26,2:00,5,7,ясно; без осадков,762,87,северо-восточный,4
Евпатория,2015-01-26,8:00,4,6,малооблачно; без осадков,763,93,северо-восточный,5
Евпатория,2015-01-26,14:00,7,9,малооблачно; без осадков,763,87,северо-восточный,3
Евпатория,2015-01-26,20:00,4,6,ясно; без осадков,764,89,северо-восточный,5
Саки,2015-01-26,2:00,2,4,ясно; без осадков,761,90,северо-восточный,3
Саки,2015-01-26,8:00,2,4,облачно; без осадков,762,92,северо-восточный,4
Саки,2015-01-26,14:00,9,11,ясно; без осадков,762,76,северо-восточный,3
Саки,2015-01-26,20:00,2,4,ясно; без осадков,763,92,северо-восточный,4
Керчь,2015-01-26,2:00,1,3,ясно; без осадков,763,91,северо-восточный,2
Керчь,2015-01-26,8:00,1,3,ясно; без осадков,764,92,северо-восточный,3
Керчь,2015-01-26,14:00,5,7,малооблачно; без осадков,764,79,северный,4
Керчь,2015-01-26,20:00,3,5,облачно; без осадков,764,92,северный,3
Красноперекопск,2015-01-26,2:00,0,2,малооблачно; без осадков,763,97,северо-восточный,3
Красноперекопск,2015-01-26,8:00,1,3,пасмурно; без осадков,764,99,восточный,4
Красноперекопск,2015-01-26,14:00,5,7,ясно; без осадков,764,76,северо-восточный,3
Красноперекопск,2015-01-26,20:00,0,2,пасмурно; без осадков,764,94,восточный,3
Щелкино,2015-01-26,2:00,2,4,малооблачно; без осадков,760,95,северо-восточный,3
Щелкино,2015-01-26,8:00,2,4,ясно; без осадков,761,91,северо-восточный,4
Щелкино,2015-01-26,14:00,4,6,ясно; без осадков,761,84,северный,5
Щелкино,2015-01-26,20:00,2,4,облачно; без осадков,761,93,северный,3
Симферополь,2015-01-26,2:00,3,5,ясно; без осадков,740,83,восточный,2
Симферополь,2015-01-26,8:00,3,5,ясно; без осадков,740,82,восточный,2
Симферополь,2015-01-26,14:00,10,12,ясно; без осадков,740,64,северо-восточный,3
Симферополь,2015-01-26,20:00,2,4,ясно; без осадков,742,95,восточный,2
Судак,2015-01-26,2:00,4,6,ясно; без осадков,760,85,северный,3
Судак,2015-01-26,8:00,5,7,ясно; без осадков,761,89,северный,3
Судак,2015-01-26,14:00,9,11,ясно; без осадков,760,74,северный,3
Судак,2015-01-26,20:00,4,6,ясно; без осадков,761,90,северный,3
Феодосия,2015-01-26,2:00,3,5,облачно; без осадков,762,97,северо-западный,3
Феодосия,2015-01-26,8:00,2,4,пасмурно; без осадков,763,98,северо-западный,3
Феодосия,2015-01-26,14:00,6,8,ясно; без осадков,763,75,северо-западный,5
Феодосия,2015-01-26,20:00,2,4,облачно; без осадков,764,94,северо-западный,4
Армянск,2015-01-26,2:00,0,2,ясно; без осадков,762,96,северо-восточный,3
Армянск,2015-01-26,8:00,1,3,облачно; без осадков,763,97,восточный,4
Армянск,2015-01-26,14:00,3,5,ясно; без осадков,763,81,восточный,4
Армянск,2015-01-26,20:00,0,2,облачно; без осадков,764,94,восточный,4
Черноморское,2015-01-26,2:00,3,5,ясно; без осадков,761,90,восточный,2
Черноморское,2015-01-26,8:00,2,4,малооблачно; без осадков,762,91,северо-восточный,2
Черноморское,2015-01-26,14:00,8,10,малооблачно; без осадков,762,86,северо-восточный,2
Черноморское,2015-01-26,20:00,5,7,пасмурно; без осадков,763,94,восточный,2
Севастополь,2015-01-26,2:00,3,5,ясно; без осадков,761,87,северо-восточный,1
Севастополь,2015-01-26,8:00,4,6,ясно; без осадков,762,82,юго-восточный,1
Севастополь,2015-01-26,14:00,9,11,ясно; без осадков,762,81,юго-западный,3
Севастополь,2015-01-26,20:00,4,6,ясно; без осадков,764,96,юго-восточный,2
Ялта,2015-01-27,2:00,7,9,облачно; без осадков,764,99,западный,1
Ялта,2015-01-27,8:00,7,9,пасмурно; без осадков,763,99,северо-восточный,2
Ялта,2015-01-27,14:00,7,9,облачно; без осадков,761,93,северо-восточный,2
Ялта,2015-01-27,20:00,7,9,пасмурно; без осадков,761,97,северо-восточный,5
Алушта,2015-01-27,2:00,6,8,пасмурно; без осадков,761,97,юго-западный,1
Алушта,2015-01-27,8:00,6,8,пасмурно; без осадков,761,97,восточный,1
Алушта,2015-01-27,14:00,7,9,облачно; без осадков,759,90,юго-восточный,1
Алушта,2015-01-27,20:00,6,8,пасмурно; без осадков,759,97,северо-восточный,2
Бахчисарай,2015-01-27,2:00,2,4,облачно; без осадков,745,98,северо-восточный,1
Бахчисарай,2015-01-27,8:00,2,4,пасмурно; без осадков,744,93,северо-восточный,1
Бахчисарай,2015-01-27,14:00,9,11,ясно; без осадков,743,71,северо-западный,1
Бахчисарай,2015-01-27,20:00,2,4,пасмурно; без осадков,742,95,восточный,2
Джанкой,2015-01-27,2:00,2,4,пасмурно; без осадков,764,95,восточный,2
Джанкой,2015-01-27,8:00,3,5,пасмурно; без осадков,763,93,восточный,2
Джанкой,2015-01-27,14:00,7,9,пасмурно; без осадков,761,78,северо-восточный,2
Джанкой,2015-01-27,20:00,3,5,пасмурно; без осадков,761,95,северо-восточный,3
Евпатория,2015-01-27,2:00,4,6,пасмурно; без осадков,764,95,северо-восточный,2
Евпатория,2015-01-27,8:00,5,7,пасмурно; без осадков,763,96,восточный,3
Евпатория,2015-01-27,14:00,7,9,облачно; без осадков,761,84,северо-восточный,1
Евпатория,2015-01-27,20:00,5,7,малооблачно; без осадков,761,91,северо-восточный,5
Саки,2015-01-27,2:00,2,4,пасмурно; без осадков,763,94,северо-восточный,1
Саки,2015-01-27,8:00,4,6,пасмурно; без осадков,762,94,восточный,2
Саки,2015-01-27,14:00,8,10,пасмурно; без осадков,761,72,северо-западный,1
Саки,2015-01-27,20:00,4,6,малооблачно; без осадков,760,93,северо-восточный,4
Керчь,2015-01-27,2:00,2,4,ясно; без осадков,764,94,северный,3
Керчь,2015-01-27,8:00,2,4,облачно; без осадков,764,95,северо-восточный,1
Керчь,2015-01-27,14:00,7,9,пасмурно; без осадков,763,77,восточный,2
Керчь,2015-01-27,20:00,4,6,облачно; без осадков,763,95,северо-восточный,2
Красноперекопск,2015-01-27,2:00,1,3,пасмурно; без осадков,764,95,восточный,2
Красноперекопск,2015-01-27,8:00,1,3,пасмурно; без осадков,764,95,восточный,2
Красноперекопск,2015-01-27,14:00,6,8,пасмурно; без осадков,762,87,восточный,1
Красноперекопск,2015-01-27,20:00,3,5,пасмурно; без осадков,762,97,северо-восточный,3
Щелкино,2015-01-27,2:00,2,4,ясно; без осадков,761,95,северо-восточный,3
Щелкино,2015-01-27,8:00,1,3,ясно; без осадков,761,96,восточный,2
Щелкино,2015-01-27,14:00,6,8,пасмурно; без осадков,760,83,северо-восточный,2
Щелкино,2015-01-27,20:00,5,7,облачно; без осадков,759,91,восточный,4
Симферополь,2015-01-27,2:00,3,5,облачно; без осадков,741,99,юго-восточный,1
Симферополь,2015-01-27,8:00,3,5,пасмурно; без осадков,740,92,северо-восточный,1
Симферополь,2015-01-27,14:00,10,12,облачно; без осадков,739,65,восточный,1
Симферополь,2015-01-27,20:00,3,5,облачно; без осадков,739,94,восточный,2
Судак,2015-01-27,2:00,5,7,малооблачно; без осадков,761,89,юго-западный,1
Судак,2015-01-27,8:00,4,6,облачно; без осадков,761,92,северный,1
Судак,2015-01-27,14:00,7,9,облачно; без осадков,760,84,южный,2
Судак,2015-01-27,20:00,5,7,пасмурно; без осадков,759,91,восточный,2
Феодосия,2015-01-27,2:00,1,3,малооблачно; без осадков,764,95,северо-западный,2
Феодосия,2015-01-27,8:00,2,4,малооблачно; без осадков,764,94,северо-западный,1
Феодосия,2015-01-27,14:00,7,9,ясно; без осадков,762,82,юго-восточный,3
Феодосия,2015-01-27,20:00,6,8,пасмурно; без осадков,761,89,восточный,3
Армянск,2015-01-27,2:00,0,2,пасмурно; без осадков,764,95,восточный,2
Армянск,2015-01-27,8:00,1,3,пасмурно; без осадков,763,96,восточный,2
Армянск,2015-01-27,14:00,4,6,пасмурно; без осадков,761,94,восточный,2
Армянск,2015-01-27,20:00,2,4,пасмурно; без осадков,761,96,северо-восточный,4
Черноморское,2015-01-27,2:00,2,4,облачно; без осадков,763,94,восточный,1
Черноморское,2015-01-27,8:00,3,5,пасмурно; без осадков,762,97,восточный,2
Черноморское,2015-01-27,14:00,7,9,пасмурно; без осадков,761,91,юго-восточный,2
Черноморское,2015-01-27,20:00,5,7,пасмурно; без осадков,761,93,северо-восточный,2
Севастополь,2015-01-27,2:00,4,6,малооблачно; без осадков,764,96,юго-восточный,3
Севастополь,2015-01-27,8:00,4,6,пасмурно; без осадков,763,91,северо-восточный,2
Севастополь,2015-01-27,14:00,10,12,малооблачно; без осадков,761,70,южный,2
Севастополь,2015-01-27,20:00,6,8,облачно; без осадков,761,92,северный,1
Ялта,2015-01-29,2:00,7,9,пасмурно; без осадков,754,96,юго-западный,2
Ялта,2015-01-29,8:00,7,9,малооблачно; без осадков,755,96,юго-западный,1
Ялта,2015-01-29,14:00,7,9,пасмурно; без осадков,755,97,южный,3
Ялта,2015-01-29,20:00,6,8,пасмурно; без осадков,756,97,восточный,2
Алушта,2015-01-29,2:00,6,8,малооблачно; без осадков,752,90,юго-западный,1
Алушта,2015-01-29,8:00,5,7,пасмурно; без осадков,754,93,северо-западный,1
Алушта,2015-01-29,14:00,7,9,пасмурно; без осадков,753,92,восточный,2
Алушта,2015-01-29,20:00,6,8,пасмурно; без осадков,754,95,юго-восточный,2
Бахчисарай,2015-01-29,2:00,1,3,облачно; без осадков,737,96,северный,1
Бахчисарай,2015-01-29,8:00,1,3,малооблачно; без осадков,737,96,северный,1
Бахчисарай,2015-01-29,14:00,6,8,пасмурно; без осадков,737,77,западный,2
Бахчисарай,2015-01-29,20:00,2,4,пасмурно; без осадков,738,90,северный,1
Джанкой,2015-01-29,2:00,1,3,пасмурно; без осадков,755,96,северный,3
Джанкой,2015-01-29,8:00,1,3,пасмурно; без осадков,756,93,северный,3
Джанкой,2015-01-29,14:00,3,5,пасмурно; без осадков,756,81,северный,1
Джанкой,2015-01-29,20:00,2,4,пасмурно; без осадков,757,86,восточный,2
Евпатория,2015-01-29,2:00,3,5,пасмурно; без осадков,756,91,северный,4
Евпатория,2015-01-29,8:00,2,4,пасмурно; без осадков,757,91,северный,3
Евпатория,2015-01-29,14:00,4,6,пасмурно; без осадков,757,77,юго-западный,2
Евпатория,2015-01-29,20:00,5,7,пасмурно; без осадков,757,78,юго-восточный,1
Саки,2015-01-29,2:00,2,4,пасмурно; без осадков,755,91,северный,3
Саки,2015-01-29,8:00,2,4,пасмурно; без осадков,756,90,северный,2
Саки,2015-01-29,14:00,5,7,пасмурно; без осадков,756,74,юго-западный,2
Саки,2015-01-29,20:00,3,5,пасмурно; без осадков,756,87,юго-восточный,1
Керчь,2015-01-29,2:00,3,5,пасмурно; дождь,755,93,северо-восточный,3
Керчь,2015-01-29,8:00,3,5,пасмурно; без осадков,755,94,северный,2
Керчь,2015-01-29,14:00,6,8,пасмурно; без осадков,757,79,западный,4
Керчь,2015-01-29,20:00,2,4,облачно; без осадков,758,93,западный,1
Красноперекопск,2015-01-29,2:00,0,2,пасмурно; без осадков,756,95,северный,3
Красноперекопск,2015-01-29,8:00,0,2,пасмурно; без осадков,757,94,северный,2
Красноперекопск,2015-01-29,14:00,3,5,пасмурно; без осадков,757,84,северо-восточный,1
Красноперекопск,2015-01-29,20:00,2,4,пасмурно; без осадков,757,87,восточный,2
Щелкино,2015-01-29,2:00,3,5,пасмурно; дождь,752,92,северо-восточный,5
Щелкино,2015-01-29,8:00,3,5,пасмурно; без осадков,753,93,северный,2
Щелкино,2015-01-29,14:00,3,5,пасмурно; без осадков,754,86,западный,4
Щелкино,2015-01-29,20:00,2,4,облачно; без осадков,755,88,северо-восточный,1
Симферополь,2015-01-29,2:00,2,4,облачно; без осадков,733,94,северо-восточный,2
Симферополь,2015-01-29,8:00,1,3,облачно; без осадков,734,95,северо-восточный,2
Симферополь,2015-01-29,14:00,6,8,пасмурно; без осадков,734,74,юго-западный,2
Симферополь,2015-01-29,20:00,3,5,пасмурно; без осадков,734,91,северо-западный,1
Судак,2015-01-29,2:00,4,6,пасмурно; без осадков,752,89,северо-западный,3
Судак,2015-01-29,8:00,4,6,пасмурно; без осадков,754,89,северо-западный,2
Судак,2015-01-29,14:00,6,8,пасмурно; без осадков,754,86,юго-восточный,3
Судак,2015-01-29,20:00,4,6,пасмурно; без осадков,755,94,восточный,3
Феодосия,2015-01-29,2:00,3,5,пасмурно; без осадков,755,94,северо-западный,4
Феодосия,2015-01-29,8:00,3,5,пасмурно; без осадков,756,93,западный,4
Феодосия,2015-01-29,14:00,6,8,пасмурно; без осадков,756,79,северо-западный,2
Феодосия,2015-01-29,20:00,3,5,пасмурно; без осадков,757,88,северо-восточный,2
Армянск,2015-01-29,2:00,0,2,пасмурно; без осадков,755,95,северный,4
Армянск,2015-01-29,8:00,0,2,пасмурно; без осадков,756,95,северный,2
Армянск,2015-01-29,14:00,2,4,пасмурно; без осадков,756,86,юго-восточный,1
Армянск,2015-01-29,20:00,1,3,пасмурно; без осадков,756,89,восточный,2
Черноморское,2015-01-29,2:00,2,4,пасмурно; без осадков,755,90,северный,3
Черноморское,2015-01-29,8:00,2,4,пасмурно; без осадков,756,91,северный,2
Черноморское,2015-01-29,14:00,4,6,пасмурно; без осадков,756,79,западный,1
Черноморское,2015-01-29,20:00,3,5,пасмурно; без осадков,755,88,юго-восточный,1
Севастополь,2015-01-29,2:00,2,4,облачно; без осадков,755,94,северный,3
Севастополь,2015-01-29,8:00,2,4,облачно; без осадков,756,94,северный,2
Севастополь,2015-01-29,14:00,5,7,пасмурно; без осадков,756,79,западный,3
Севастополь,2015-01-29,20:00,3,5,пасмурно; без осадков,757,86,восточный,2
Ялта,2015-01-30,2:00,6,8,пасмурно; без осадков,756,94,южный,2
Ялта,2015-01-30,8:00,6,8,пасмурно; без осадков,755,96,северо-восточный,3
Ялта,2015-01-30,14:00,8,10,ясно; без осадков,754,82,северо-восточный,1
Ялта,2015-01-30,20:00,8,10,ясно; без осадков,754,81,северный,2
Алушта,2015-01-30,2:00,5,7,пасмурно; без осадков,754,93,южный,2
Алушта,2015-01-30,8:00,6,8,пасмурно; без осадков,753,93,северный,1
Алушта,2015-01-30,14:00,8,10,ясно; без осадков,752,80,восточный,1
Алушта,2015-01-30,20:00,7,9,ясно; без осадков,752,85,северный,1
Бахчисарай,2015-01-30,2:00,0,2,пасмурно; без осадков,737,96,восточный,1
Бахчисарай,2015-01-30,8:00,4,6,малооблачно; без осадков,736,87,восточный,3
Бахчисарай,2015-01-30,14:00,11,13,ясно; без осадков,734,54,юго-восточный,5
Бахчисарай,2015-01-30,20:00,4,6,ясно; без осадков,734,74,восточный,3
Джанкой,2015-01-30,2:00,2,4,облачно; без осадков,756,91,восточный,2
Джанкой,2015-01-30,8:00,1,3,пасмурно; без осадков,755,98,восточный,2
Джанкой,2015-01-30,14:00,12,14,малооблачно; без осадков,752,55,юго-восточный,3
Джанкой,2015-01-30,20:00,5,7,ясно; без осадков,752,82,юго-восточный,3
Евпатория,2015-01-30,2:00,5,7,облачно; без осадков,756,87,юго-восточный,4
Евпатория,2015-01-30,8:00,4,6,пасмурно; без осадков,755,88,восточный,4
Евпатория,2015-01-30,14:00,9,11,ясно; без осадков,752,72,южный,8
Евпатория,2015-01-30,20:00,9,11,ясно; без осадков,752,69,юго-восточный,8
Саки,2015-01-30,2:00,0,2,малооблачно; без осадков,755,95,восточный,2
Саки,2015-01-30,8:00,3,5,пасмурно; без осадков,754,87,северо-восточный,2
Саки,2015-01-30,14:00,12,14,ясно; без осадков,752,53,южный,6
Саки,2015-01-30,20:00,7,9,ясно; без осадков,752,64,юго-восточный,4
Керчь,2015-01-30,2:00,2,4,пасмурно; без осадков,758,93,восточный,2
Керчь,2015-01-30,8:00,5,7,пасмурно; без осадков,757,92,юго-восточный,2
Керчь,2015-01-30,14:00,10,12,ясно; без осадков,755,73,юго-восточный,6
Керчь,2015-01-30,20:00,6,8,ясно; без осадков,755,90,юго-восточный,5
Красноперекопск,2015-01-30,2:00,1,3,малооблачно; без осадков,756,94,юго-восточный,2
Красноперекопск,2015-01-30,8:00,1,3,облачно; без осадков,755,97,восточный,3
Красноперекопск,2015-01-30,14:00,11,13,облачно; без осадков,752,63,юго-восточный,4
Красноперекопск,2015-01-30,20:00,6,8,ясно; без осадков,752,78,юго-восточный,4
Щелкино,2015-01-30,2:00,3,5,облачно; без осадков,754,91,восточный,4
Щелкино,2015-01-30,8:00,5,7,пасмурно; без осадков,754,91,юго-восточный,4
Щелкино,2015-01-30,14:00,8,10,ясно; без осадков,752,73,южный,5
Щелкино,2015-01-30,20:00,5,7,ясно; без осадков,752,91,юго-восточный,5
Симферополь,2015-01-30,2:00,2,4,облачно; без осадков,734,93,юго-восточный,1
Симферополь,2015-01-30,8:00,4,6,облачно; без осадков,733,84,восточный,4
Симферополь,2015-01-30,14:00,11,13,ясно; без осадков,731,54,юго-восточный,5
Симферополь,2015-01-30,20:00,6,8,ясно; без осадков,731,68,юго-восточный,5
Судак,2015-01-30,2:00,5,7,пасмурно; без осадков,754,91,южный,4
Судак,2015-01-30,8:00,6,8,пасмурно; без осадков,754,90,юго-восточный,2
Судак,2015-01-30,14:00,8,10,ясно; без осадков,752,81,южный,1
Судак,2015-01-30,20:00,5,7,ясно; без осадков,752,92,юго-восточный,1
Феодосия,2015-01-30,2:00,6,8,облачно; без осадков,756,85,южный,6
Феодосия,2015-01-30,8:00,6,8,пасмурно; дождь,756,89,юго-восточный,3
Феодосия,2015-01-30,14:00,9,11,ясно; без осадков,754,82,юго-восточный,4
Феодосия,2015-01-30,20:00,6,8,ясно; без осадков,754,94,юго-восточный,3
Армянск,2015-01-30,2:00,1,3,облачно; без осадков,755,93,юго-восточный,3
Армянск,2015-01-30,8:00,1,3,облачно; без осадков,755,95,восточный,4
Армянск,2015-01-30,14:00,7,9,облачно; без осадков,752,74,восточный,4
Армянск,2015-01-30,20:00,5,7,ясно; без осадков,751,77,юго-восточный,6
Черноморское,2015-01-30,2:00,5,7,пасмурно; без осадков,755,80,юго-восточный,3
Черноморское,2015-01-30,8:00,6,8,пасмурно; без осадков,753,90,юго-восточный,5
Черноморское,2015-01-30,14:00,9,11,ясно; без осадков,751,77,юго-восточный,8
Черноморское,2015-01-30,20:00,8,10,ясно; без осадков,750,73,юго-восточный,8
Севастополь,2015-01-30,2:00,3,5,пасмурно; без осадков,755,88,юго-восточный,4
Севастополь,2015-01-30,8:00,6,8,малооблачно; без осадков,754,85,юго-восточный,4
Севастополь,2015-01-30,14:00,11,13,ясно; без осадков,752,62,юго-восточный,7
Севастополь,2015-01-30,20:00,9,11,ясно; без осадков,752,62,юго-восточный,7
Ялта,2015-01-31,2:00,9,11,ясно; без осадков,752,74,северный,1
Ялта,2015-01-31,8:00,9,11,пасмурно; без осадков,752,81,северо-восточный,2
Ялта,2015-01-31,14:00,9,11,пасмурно; дождь,750,87,юго-западный,3
Ялта,2015-01-31,20:00,10,12,пасмурно; без осадков,751,84,юго-западный,5
Алушта,2015-01-31,2:00,7,9,ясно; без осадков,751,78,северо-восточный,1
Алушта,2015-01-31,8:00,8,10,малооблачно; без осадков,749,79,северо-восточный,1
Алушта,2015-01-31,14:00,8,10,пасмурно; дождь,748,91,южный,2
Алушта,2015-01-31,20:00,9,11,пасмурно; без осадков,749,82,южный,4
Бахчисарай,2015-01-31,2:00,7,9,ясно; без осадков,733,57,юго-восточный,4
Бахчисарай,2015-01-31,8:00,9,11,пасмурно; без осадков,732,56,юго-восточный,5
Бахчисарай,2015-01-31,14:00,10,12,пасмурно; дождь,731,67,юго-восточный,7
Бахчисарай,2015-01-31,20:00,8,10,пасмурно; дождь,732,82,южный,5
Джанкой,2015-01-31,2:00,7,9,ясно; без осадков,751,57,юго-восточный,5
Джанкой,2015-01-31,8:00,10,12,пасмурно; без осадков,749,52,юго-восточный,5
Джанкой,2015-01-31,14:00,11,13,пасмурно; без осадков,748,70,юго-восточный,7
Джанкой,2015-01-31,20:00,10,12,пасмурно; без осадков,749,74,южный,7
Евпатория,2015-01-31,2:00,10,12,ясно; без осадков,750,61,юго-восточный,10
Евпатория,2015-01-31,8:00,9,11,пасмурно; без осадков,749,69,южный,10
Евпатория,2015-01-31,14:00,9,11,пасмурно; без осадков,747,72,южный,13
Евпатория,2015-01-31,20:00,8,10,пасмурно; дождь,749,91,южный,10
Саки,2015-01-31,2:00,10,12,малооблачно; без осадков,750,46,юго-восточный,6
Саки,2015-01-31,8:00,11,13,пасмурно; без осадков,749,49,южный,6
Саки,2015-01-31,14:00,11,13,пасмурно; без осадков,747,61,южный,10
Саки,2015-01-31,20:00,9,11,пасмурно; дождь,749,90,южный,7
Керчь,2015-01-31,2:00,7,9,ясно; без осадков,755,84,юго-восточный,6
Керчь,2015-01-31,8:00,8,10,облачно; без осадков,753,79,юго-восточный,8
Керчь,2015-01-31,14:00,10,12,ясно; без осадков,752,65,юго-восточный,9
Керчь,2015-01-31,20:00,9,11,пасмурно; без осадков,752,72,юго-восточный,10
Красноперекопск,2015-01-31,2:00,7,9,ясно; без осадков,750,55,юго-восточный,5
Красноперекопск,2015-01-31,8:00,10,12,пасмурно; без осадков,749,50,юго-восточный,5
Красноперекопск,2015-01-31,14:00,10,12,пасмурно; без осадков,747,73,южный,8
Красноперекопск,2015-01-31,20:00,9,11,пасмурно; без осадков,749,88,южный,7
Щелкино,2015-01-31,2:00,6,8,ясно; без осадков,751,87,юго-восточный,6
Щелкино,2015-01-31,8:00,7,9,пасмурно; без осадков,749,84,юго-восточный,7
Щелкино,2015-01-31,14:00,9,11,малооблачно; без осадков,748,67,южный,9
Щелкино,2015-01-31,20:00,9,11,пасмурно; без осадков,749,72,южный,9
Симферополь,2015-01-31,2:00,8,10,ясно; без осадков,730,53,юго-восточный,6
Симферополь,2015-01-31,8:00,9,11,пасмурно; без осадков,728,53,юго-восточный,6
Симферополь,2015-01-31,14:00,9,11,пасмурно; дождь,727,73,юго-восточный,8
Симферополь,2015-01-31,20:00,9,11,пасмурно; без осадков,728,79,южный,6
Судак,2015-01-31,2:00,5,7,ясно; без осадков,751,87,юго-восточный,1
Судак,2015-01-31,8:00,7,9,пасмурно; без осадков,749,78,юго-восточный,1
Судак,2015-01-31,14:00,9,11,пасмурно; без осадков,749,82,южный,4
Судак,2015-01-31,20:00,9,11,пасмурно; без осадков,749,83,южный,5
Феодосия,2015-01-31,2:00,7,9,ясно; без осадков,753,88,юго-восточный,4
Феодосия,2015-01-31,8:00,8,10,пасмурно; без осадков,752,82,южный,5
Феодосия,2015-01-31,14:00,10,12,облачно; без осадков,751,73,южный,7
Феодосия,2015-01-31,20:00,10,12,пасмурно; без осадков,751,75,южный,7
Армянск,2015-01-31,2:00,6,8,ясно; без осадков,749,60,юго-восточный,7
Армянск,2015-01-31,8:00,8,10,пасмурно; без осадков,749,58,юго-восточный,7
Армянск,2015-01-31,14:00,8,10,пасмурно; дождь,746,76,юго-восточный,10
Армянск,2015-01-31,20:00,7,9,пасмурно; без осадков,747,90,южный,8
Черноморское,2015-01-31,2:00,9,11,малооблачно; без осадков,749,66,юго-восточный,9
Черноморское,2015-01-31,8:00,10,12,пасмурно; без осадков,747,66,юго-восточный,10
Черноморское,2015-01-31,14:00,9,11,пасмурно; дождь,745,75,южный,11
Черноморское,2015-01-31,20:00,8,10,пасмурно; без осадков,747,94,южный,6
Севастополь,2015-01-31,2:00,10,12,малооблачно; без осадков,751,58,юго-восточный,8
Севастополь,2015-01-31,8:00,10,12,пасмурно; без осадков,750,62,юго-восточный,8
Севастополь,2015-01-31,14:00,10,12,пасмурно; без осадков,748,69,юго-восточный,9
Севастополь,2015-01-31,20:00,9,11,пасмурно; дождь,750,87,юго-восточный,6
Ялта,2015-02-02,2:00,11,13,пасмурно; дождь,749,91,юго-западный,10
Ялта,2015-02-02,8:00,10,12,пасмурно; дождь,751,93,юго-западный,7
Ялта,2015-02-02,14:00,10,12,пасмурно; без осадков,748,92,северо-западный,1
Ялта,2015-02-02,20:00,9,11,пасмурно; дождь,748,90,юго-западный,6
Алушта,2015-02-02,2:00,11,13,малооблачно; без осадков,747,85,юго-западный,8
Алушта,2015-02-02,8:00,10,12,пасмурно; дождь,749,89,юго-западный,6
Алушта,2015-02-02,14:00,10,12,облачно; без осадков,746,90,западный,1
Алушта,2015-02-02,20:00,9,11,пасмурно; дождь,746,84,юго-западный,4
Бахчисарай,2015-02-02,2:00,9,11,пасмурно; дождь,731,91,южный,8
Бахчисарай,2015-02-02,8:00,9,11,пасмурно; дождь,732,93,южный,6
Бахчисарай,2015-02-02,14:00,11,13,пасмурно; без осадков,730,80,юго-западный,2
Бахчисарай,2015-02-02,20:00,8,10,пасмурно; дождь,730,84,южный,5
Джанкой,2015-02-02,2:00,11,13,пасмурно; без осадков,746,88,южный,9
Джанкой,2015-02-02,8:00,8,10,пасмурно; без осадков,750,92,западный,2
Джанкой,2015-02-02,14:00,10,12,пасмурно; дождь,747,92,юго-восточный,3
Джанкой,2015-02-02,20:00,7,9,пасмурно; без осадков,747,95,южный,2
Евпатория,2015-02-02,2:00,9,11,пасмурно; дождь,747,88,южный,10
Евпатория,2015-02-02,8:00,8,10,пасмурно; дождь,750,92,южный,5
Евпатория,2015-02-02,14:00,9,11,пасмурно; дождь,747,85,южный,10
Евпатория,2015-02-02,20:00,8,10,пасмурно; без осадков,747,91,южный,9
Саки,2015-02-02,2:00,10,12,пасмурно; дождь,747,89,южный,9
